"","Date","Sample.ID","Chamber.ID","SDR","Group","Temperature","Type","Salinity","Plate","Run","Volume","Org.Number","unique","Light","Photo.Intercept","P.umol.L.min","P.umol.min","P.Blank.umol.min","P.umol.min.corr","P.umol.org.min","P.nmol.org.min","PAR"
"148",20230625,21,"D3",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - D3",4,147.157229456177,-0.972425867162707,-7.77940693730166e-05,-5.33352037465246e-06,-7.24605489983641e-05,-1.44921097996728e-05,-0.0144921097996728,500
"149",20230625,21,"D3",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - D3",5,177.167128205129,-1.45658299595142,-0.000116526639676114,-5.33352037465246e-06,-0.000111193119301461,-2.22386238602922e-05,-0.0222386238602922,0.2
"150",20230625,4,"A4",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - A4",1,188.016396011396,-0.677435897435903,-5.41948717948723e-05,-5.33352037465246e-06,-4.88613514202198e-05,-9.77227028404396e-06,-0.00977227028404396,0.1
"151",20230625,4,"A4",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - A4",2,172.442617121413,-0.510923128979667,-4.08738503183734e-05,-5.33352037465246e-06,-3.55403299437209e-05,-7.10806598874418e-06,-0.00710806598874418,50
"152",20230625,4,"A4",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - A4",3,200.897210084034,-0.715775910364145,-5.72620728291316e-05,-5.33352037465246e-06,-5.19285524544791e-05,-1.03857104908958e-05,-0.0103857104908958,100
"153",20230625,4,"A4",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - A4",4,98.678352272727,1.55704545454546,0.000124563636363637,-5.33352037465246e-06,0.000129897156738289,2.59794313476579e-05,0.0259794313476579,500
"154",20230625,4,"A4",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - A4",5,333.503497536945,-2.43257799671591,-0.000194606239737273,-5.33352037465246e-06,-0.00018927271936262,-3.78545438725241e-05,-0.0378545438725241,0.2
"155",20230625,10,"B4",710,"F1-WT",27,"Sample",33,2,1,8e-05,5,"2 - B4",1,183.283346320346,-1.55527272727273,-0.000124421818181818,-5.33352037465246e-06,-0.000119088297807166,-2.38176595614332e-05,-0.0238176595614332,0.1
"156",20230625,10,"B4",710,"F1-WT",27,"Sample",33,2,1,8e-05,5,"2 - B4",2,155.227204081633,-0.275979591836733,-2.20783673469386e-05,-5.33352037465246e-06,-1.67448469722862e-05,-3.34896939445724e-06,-0.00334896939445724,50
"157",20230625,10,"B4",710,"F1-WT",27,"Sample",33,2,1,8e-05,5,"2 - B4",3,116.481117561684,1.06287373004354,8.50298984034832e-05,-5.33352037465246e-06,9.03634187781357e-05,1.80726837556271e-05,0.0180726837556271,100
"158",20230625,10,"B4",710,"F1-WT",27,"Sample",33,2,1,8e-05,5,"2 - B4",4,150.647070371489,0.423135004530354,3.38508003624283e-05,-5.33352037465246e-06,3.91843207370808e-05,7.83686414741616e-06,0.00783686414741616,500
"159",20230625,10,"B4",710,"F1-WT",27,"Sample",33,2,1,8e-05,5,"2 - B4",5,351.446057082453,-2.8144355179704,-0.000225154841437632,-5.33352037465246e-06,-0.00021982132106298,-4.39642642125959e-05,-0.0439642642125959,0.2
"160",20230625,16,"C4",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - C4",1,186.075458211144,-1.48949413489735,-0.000119159530791788,-5.33352037465246e-06,-0.000113826010417136,-2.27652020834271e-05,-0.0227652020834271,0.1
"161",20230625,16,"C4",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - C4",3,114.211191369606,1.07410131332082,8.59281050656656e-05,-5.33352037465246e-06,9.12616254403181e-05,1.82523250880636e-05,0.0182523250880636,100
"162",20230625,16,"C4",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - C4",4,134.843636363637,0.55885835095137,4.47086680761096e-05,-5.33352037465246e-06,5.00421884507621e-05,1.00084376901524e-05,0.0100084376901524,500
"163",20230625,16,"C4",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - C4",5,285.397591275486,-2.02764343290659,-0.000162211474632527,-5.33352037465246e-06,-0.000156877954257875,-3.13755908515749e-05,-0.0313755908515749,0.2
"164",20230625,22,"D4",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - D4",1,181.516877470356,-3.9494071146245,-0.00031595256916996,-5.33352037465246e-06,-0.000310619048795308,-6.21238097590615e-05,-0.0621238097590615,0.1
"165",20230625,22,"D4",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - D4",2,128.591343589744,-0.209820814479639,-1.67856651583711e-05,-5.33352037465246e-06,-1.14521447837187e-05,-2.29042895674373e-06,-0.00229042895674373,50
"166",20230625,22,"D4",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - D4",3,72.6736303231651,1.56167925098158,0.000124934340078526,-5.33352037465246e-06,0.000130267860453179,2.60535720906358e-05,0.0260535720906358,100
"167",20230625,22,"D4",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - D4",4,-36.416064957265,3.5708170940171,0.000285665367521368,-5.33352037465246e-06,0.00029099888789602,5.81997775792041e-05,0.0581997775792041,500
"168",20230625,22,"D4",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - D4",5,376.537908906884,-3.9187125506073,-0.000313497004048584,-5.33352037465246e-06,-0.000308163483673932,-6.16326967347863e-05,-0.0616326967347863,0.2
