ID,File,Class,Height,Area
1419,20240423_Mcap_neg_PBQC6,PBQC,5385172,34818640
1419,20240423_Mcap_neg_PBQC7,PBQC,5552800,35076773
1718,20240423_Mcap_neg_1,WT_3C,73607,811928
1718,20240423_Mcap_neg_10,B_3C,179613,1283260
1718,20240423_Mcap_neg_11,WT_3C,78631,638953
1718,20240423_Mcap_neg_12,B_0C,179461,2384383
1718,20240423_Mcap_neg_13,WT_6C,96977,677210
1718,20240423_Mcap_neg_14,B_3C,190351,1517056
1718,20240423_Mcap_neg_15,Blank,12245,32493
1718,20240423_Mcap_neg_16,Blank,4204,11437
1718,20240423_Mcap_neg_17,B_6C,339663,3156139
1718,20240423_Mcap_neg_18,B_6C,82775,455611
1718,20240423_Mcap_neg_19,Blank,5616,11863
1718,20240423_Mcap_neg_2,Blank,3053,4791
1718,20240423_Mcap_neg_20,Blank,13491,32706
1718,20240423_Mcap_neg_21,WT_6C,68479,659861
1718,20240423_Mcap_neg_22,NB_3C,257593,1974346
1718,20240423_Mcap_neg_23,WT_6C,46889,311628
1718,20240423_Mcap_neg_24,B_0C,176774,2398843
1718,20240423_Mcap_neg_25,Blank,7644,14405
1718,20240423_Mcap_neg_26,NB_6C,117028,1057762
1718,20240423_Mcap_neg_27,B_3C,75160,205973
1718,20240423_Mcap_neg_28,NB_3C,165435,818851
1718,20240423_Mcap_neg_29,Blank,3428,5673
1718,20240423_Mcap_neg_3,NB_0C,113926,1006314
1718,20240423_Mcap_neg_30,NB_0C,170929,1357096
1718,20240423_Mcap_neg_31,NB_3C,136847,1236650
1718,20240423_Mcap_neg_32,NB_0C,63506,318368
1718,20240423_Mcap_neg_33,NB_3C,434362,5571305
1718,20240423_Mcap_neg_34,B_0C,95416,1103070
1718,20240423_Mcap_neg_35,WT_0C,118499,963725
1718,20240423_Mcap_neg_36,Blank,103242,1033645
1718,20240423_Mcap_neg_37,B_6C,117144,1590795
1718,20240423_Mcap_neg_38,NB_6C,143910,1324235
1718,20240423_Mcap_neg_39,NB_0C,297795,2464388
1718,20240423_Mcap_neg_4,WT_3C,120437,910402
1718,20240423_Mcap_neg_40,NB_3C,135000,1058110
1718,20240423_Mcap_neg_41,B_6C,109966,1053632
1718,20240423_Mcap_neg_42,B_3C,279985,3556815
1718,20240423_Mcap_neg_43,Blank,6965,21568
1718,20240423_Mcap_neg_44,B_0C,245234,2871213
1718,20240423_Mcap_neg_45,NB_6C,196390,1080063
1718,20240423_Mcap_neg_46,WT_3C,124464,599506
1718,20240423_Mcap_neg_47,WT_0C,103676,1005796
1718,20240423_Mcap_neg_48,NB_3C,208969,1483811
1718,20240423_Mcap_neg_49,WT_6C,119031,1167120
1718,20240423_Mcap_neg_5,B_6C,195292,2075250
1718,20240423_Mcap_neg_50,NB_6C,224688,1870298
1718,20240423_Mcap_neg_51,B_6C,180286,1530455
1718,20240423_Mcap_neg_52,WT_6C,88120,1022833
1718,20240423_Mcap_neg_53,NB_6C,188768,1559755
1718,20240423_Mcap_neg_54,WT_0C,292634,4076018
1718,20240423_Mcap_neg_55,B_0C,230496,3070736
1718,20240423_Mcap_neg_56,WT_3C,119436,965821
1718,20240423_Mcap_neg_57,NB_0C,323485,2941401
1718,20240423_Mcap_neg_58,NB_6C,25526,178225
1718,20240423_Mcap_neg_59,WT_0C,355465,4606205
