Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum
6622,8.189,381.37433,FA 25:0,[M-H]-,null,0.14,True,8.920,381.37381,C25H50O2,FA,MWMPEAHGUXCSMY-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCCCCCCCCCCCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,6622,0,0.00,1.00,0.95,0.73,0.75,1.00,2.00,2.47,515.35,20240423_Mcap_neg_61,381.37430:3298842 382.37897:880628 383.38363:105551,50.79544:2534 175.71935:2389 209.64622:2396 270.93774:2378 310.61371:2591 381.37399:211876
7492,4.064,407.29630,ST 24:1;O5,[M-H]-,null,0.99,True,1.617,407.28030,C24H40O5,BileAcid,DKPMWHFRUGMUKF-CRKPLTDNSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H]([C@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,430,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,7492,0,0.00,0.95,0.10,0.20,0.72,3.00,0.33,1.06,117.69,20240423_Mcap_neg_24,407.29639:713792 408.30105:192637 409.30572:34459,57.26533:2478 59.01273:5798 71.69308:6997 114.73401:2803 150.81488:2732 168.35210:2441 239.35617:2659 305.17838:2623 407.29129:3293
7547,4.519,409.31177,FA 28:7,[M-H]-,null,0.86,True,7.530,409.31119,C28H42O2,FA,HVSUZLSWJNESIE-UHFFFAOYSA-N,O=C(O)CCCCCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,7547,0,0.00,1.00,0.32,0.44,0.75,1.00,2.00,2.27,340.09,20240423_Mcap_neg_57,409.31143:4522439 410.31610:1435633 411.32077:217561,56.43741:2524 59.01262:12496 66.40176:2619 70.18600:2364 72.26009:6292 365.32126:8820 409.30988:16574
7931,9.758,423.42157,FA 28:0,[M-H]-,null,0.15,True,10.800,423.42081,C28H56O2,FA,UTOPWMOLSKOLTQ-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCCCCCCCCCCCCCCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,7931,0,0.00,1.00,0.52,0.57,0.75,1.00,2.00,2.34,83.92,20240423_Mcap_neg_17,423.42145:207120 424.42612:94262 425.43078:12471,68.16005:2771 69.17812:2906 72.19617:2717 127.62473:2881 204.61916:2441 204.70799:3318 242.86267:2978 423.41904:21281
7967,0.869,425.25769,NAGlySer 17:2;O,[M-H]-,null,0.76,True,5.190,425.26569,C22H38N2O6,NAGlySer,BXHXFXSIRNHCJK-UHFFFAOYSA-N,O=C(O)C(NC(=O)CNC(=O)CC(O)CCCCCC=CCC=CCCCC)CO,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,7967,0,0.00,0.99,0.13,0.59,0.70,6.00,2.00,2.24,56.62,20240423_Mcap_neg_61,425.25806:364612 426.26272:132133 427.26739:0,56.18975:2880 63.99894:2452 66.69836:2477 70.77948:14255 79.95615:3953 96.95904:18100 99.07462:3083 114.82156:2344 137.26659:2366 140.76765:2310 177.49770:2556 275.64694:2933 425.25757:19697
8341,5.156,437.34311,FA 30:7,[M-H]-,null,0.88,True,7.980,437.34250,C30H46O2,FA,FCMLLNVSOOEVJK-UHFFFAOYSA-N,O=C(O)CCCCCCCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,8341,0,0.00,1.00,0.27,0.38,0.75,1.00,2.00,2.25,33.67,20240423_Mcap_neg_17,437.34311:302432 438.34778:77675 439.35244:16434,50.72637:2290 51.84721:2469 108.24885:2453 124.74361:2600 156.50186:2448 227.87192:2762 298.41513:2886 437.34137:6507
8360,3.263,438.29977,LPE O-16:0,[M-H]-,null,0.86,True,6.700,438.29901,C21H46NO6P,EtherLPE,OKXWJISJKQKUTN-UHFFFAOYSA-N,O=P(O)(OCCN)OCC(O)COCCCCCCCCCCCCCCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,8360,0,0.00,1.00,0.78,0.86,0.93,4.00,2.00,2.53,7185.87,20240423_Mcap_neg_59,438.29944:361187 439.30411:81576 440.30877:11888,63.13303:2237 72.20609:3804 72.21452:2529 78.95796:37371 80.93176:2348 115.29668:3232 140.01093:11292 377.24747:4290 438.29993:20311
8391,5.880,439.37946,FA 30:6,[M-H]-,null,0.83,True,8.090,439.35818,C30H48O2,FA,BKFMERKCQDCYIE-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCC=CCC=CCC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,8391,0,0.00,0.91,0.08,0.15,0.75,1.00,2.00,2.11,37.57,20240423_Mcap_neg_54,439.37967:226119 440.38434:61512 441.38900:0,50.84103:2693 72.21376:4135 87.40440:3040 88.52307:2764 97.45563:3768 98.53386:2760 153.12697:13272 155.15501:2584 170.43430:2553 188.34819:2725 190.42496:3119 197.11867:8010 215.12820:16826 439.38303:6008
8411,11.215,440.31641,NAGly 26:6,[M-H]-,null,0.13,True,6.740,440.31699,C28H43NO3,NAGly,ZUKMMLOUXSMGLA-UHFFFAOYSA-N,O=C(O)CNC(=O)CCCCCCC=CCC=CCC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,8411,0,0.00,1.00,0.04,0.02,0.75,1.00,2.00,2.12,26094.93,20240423_Mcap_neg_17,440.31647:284293 441.32114:84301 442.32580:11551,61.33950:2700 66.84067:2457 72.12026:4518 72.12379:3728 74.04369:2458 75.00422:13701 96.68304:2756 117.00214:6400 124.84772:3147 146.03401:2367 168.82759:2761 240.00020:2507 256.18857:2778 354.77023:3215 370.29385:5977
8786,10.713,451.45233,FA 30:0,[M-H]-,null,0.14,True,11.580,451.45209,C30H60O2,FA,VHOCUJPBKOZGJD-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,8786,0,0.00,1.00,0.52,0.57,0.75,1.00,2.00,2.34,85.03,20240423_Mcap_neg_50,451.45273:205430 452.45740:67620 453.46206:17922,57.18100:2530 72.21414:3484 94.76823:2723 101.50627:2566 142.42610:3455 156.26187:2954 203.35028:2706 221.06325:3000 335.61697:2789 451.45197:28624
9082,5.760,461.36459,FA 32:9,[M-H]-,null,0.86,True,7.990,461.34250,C32H46O2,FA,NLJJMGUZKFVZFY-UHFFFAOYSA-N,O=C(O)CCCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,9082,0,0.00,0.91,0.08,0.15,0.75,1.00,2.00,2.11,42.45,20240423_Mcap_neg_63,461.36438:341467 462.36905:116948 463.37372:23979,58.51176:2499 59.01289:2952 64.23061:2394 72.20040:5234 86.80556:2848 116.63467:3056 137.06017:15756 145.34494:2655 419.35229:8541 461.35840:4129
9264,5.928,465.37448,FA 32:7,[M-H]-,null,0.88,True,8.120,465.37381,C32H50O2,FA,SVAVYGSMIMDJNJ-UHFFFAOYSA-N,O=C(O)CCCCCCCCCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,9264,0,0.00,1.00,0.44,0.62,0.75,1.00,2.00,2.34,44.43,20240423_Mcap_neg_PBQC1_20,465.37424:489266 466.37890:166155 467.38357:29913,59.01255:11262 59.69595:2942 61.84746:2443 71.03201:3011 72.19249:2599 72.19749:3300 106.42393:2488 135.73856:3590 465.37326:25105
9287,4.086,466.33093,LPE O-18:0,[M-H]-,null,0.86,True,7.290,466.33029,C23H50NO6P,EtherLPE,JIJGULMDDZORPH-UHFFFAOYSA-N,O=P(O)(OCCN)OCC(O)COCCCCCCCCCCCCCCCCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,9287,0,0.00,1.00,0.73,0.82,0.94,4.00,2.00,2.52,35.33,20240423_Mcap_neg_9,466.33078:281054 467.33545:76953 468.34012:7760,60.74669:2226 71.41910:2697 72.20010:3746 78.95787:37076 97.46180:3131 118.25671:2528 140.01102:10967 145.94899:2582 171.49055:2454 238.51892:2585 405.27905:4594 466.33005:23324
9830,2.881,485.33881,LPE 18:1(d7),[M-H]-,null,0.99,True,6.410,485.33783,C23H39[2H]7NO7P,LPE,PYVRVRFVLRNJLY-CCLUNVSZNA-N,[C@](COP(=O)(O)OCCN)([H])(O)COC(CCCCCCC/C=C\CCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])=O,430,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,9830,0,0.00,1.00,0.83,0.91,0.94,4.00,1.00,1.92,1866.78,20240423_Mcap_neg_PBQC3,485.33859:11070718 486.34326:2784348 487.34793:454709,68.28174:7090 68.55799:7170 72.25479:12736 72.25833:10697 78.95358:11160 78.95793:158747 98.43018:7085 122.00011:7929 140.01125:54277 150.45404:7117 152.99512:12907 161.61667:8423 181.48561:8526 196.03748:177777 205.02420:8110 214.04800:36735 288.29272:1628033 485.33777:169749
10108,6.840,493.40622,FA 34:7,[M-H]-,null,0.86,True,8.860,493.40509,C34H54O2,FA,VRVLQKGZYZPVLK-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,10108,0,0.00,1.00,0.55,0.62,0.75,1.00,2.00,2.36,64.21,20240423_Mcap_neg_48,493.40604:770283 494.41070:260905 495.41537:45575,57.51631:2820 60.71521:2765 61.08667:2741 97.45378:3735 190.44415:2530 334.38272:2752 493.40475:21446
10158,6.177,495.44296,FAHFA 31:1;O|FAHFA 18:0/13:0;O,[M-H]-,null,0.86,True,9.020,495.44189,C31H60O4,FAHFA,PCUIXKAJSDMAOV-UHFFFAOYSA-N,O=C(O)CCCCCC(OC(=O)CCCCCCCCCCCCCCCCC)CCCCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,10158,0,0.00,1.00,0.85,0.82,0.86,4.00,2.00,2.51,169.93,20240423_Mcap_neg_4,495.44254:265182 496.44720:96205 497.45187:15471,71.96033:7514 97.46143:3266 211.17014:8223 229.18088:9981 283.26437:48654 495.44360:4036
10265,2.006,500.27917,LPE 20:4,[M-H]-,null,0.88,True,5.830,500.27829,C25H44NO7P,LPE,JPNPIRVRGLGTRE-UHFFFAOYSA-N,O=C(OCC(O)COP(=O)(O)OCCN)CCCCCCC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,10265,0,0.00,1.00,0.33,0.60,0.67,5.00,2.00,2.27,76.17,20240423_Mcap_neg_14,500.27917:490939 501.28384:127227 502.28851:19972,59.01254:4130 62.85042:2703 72.18646:4647 74.00864:2494 87.34408:2795 109.57833:2672 109.83073:2756 154.20947:2515 187.94223:4347 214.04785:3251 219.16617:2900 229.59047:2934 259.24161:5185 266.89029:3129 303.23312:37296 324.62009:2670
