Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
24.06.23 12:21:26,8.53,210.56,195.45,209.37,205.92,191.18,201.99,190.6,209.22,198.46,207.45,207.36,202.73,197.44,193.43,200.61,179.5,206.51,204.67,200.24,210.42,203.65,207.47,180.07,217.83,,33,965,33,30.81,
24.06.23 12:21:41,8.78,199.31,194.12,183.65,186.75,181.38,185.74,176.66,207.01,201.5,206.09,191.01,192.47,197.44,190.74,191.36,174.41,207.62,200.02,192.85,205.37,209.83,192.31,192.27,225.55,,33,965,33,30.85,
24.06.23 12:21:56,9.03,207.25,200.53,197.67,199.54,192.52,186.79,182.4,201.25,198.46,203.93,201.03,201.91,201.48,196.68,192.71,166.74,207.9,203.5,203.28,208.17,213.08,197.13,199.01,217.83,,33,965,33,30.85,
24.06.23 12:22:11,9.28,196.6,193.58,187.25,196.38,187.98,184.95,187.15,207.01,201.5,208.26,195.32,198.39,204.74,182.48,183.86,177.35,202.9,209.94,192.3,209.29,211.99,197.99,187.46,217.54,,33,965,33,30.88,
24.06.23 12:22:26,9.53,201.76,193.32,189.57,202.99,190.11,179.99,192.2,209.77,203.17,198.3,194.24,208.2,212.69,181.43,197.33,175.48,203.46,209.94,191.49,202.03,209.56,186.13,185.61,216.41,,33,965,33,30.92,
24.06.23 12:22:41,9.78,191.75,197.04,179.31,200.6,184.8,204.71,182.14,211.16,200.12,204.2,196.68,196.23,192.37,191.82,190.82,165.95,200.43,198.87,196.12,201.19,218,197.99,177.72,232.79,,33,965,33,30.92,
24.06.23 12:22:56,10.03,212.51,191.2,194.78,198.48,186.65,189.16,188.21,219.27,202.34,197.23,185.13,205.18,210.76,199.12,197.6,182.19,197.14,193.41,196.67,202.86,209.83,200.85,186.4,246.66,,33,965,33,30.95,
24.06.23 12:23:11,10.28,203.68,190.41,194.52,202.19,191.71,183.12,195.15,211.16,203.17,203.93,198.85,209.03,205.28,197.49,193.52,177.62,203.18,196.56,210.25,197.6,204.72,206.9,176.68,232.21,,33,965,33,30.98,
24.06.23 12:23:26,10.53,199.31,194.65,199.78,203.52,199.52,189.43,186.09,209.77,197.08,202.86,183.54,202.18,211.86,191.55,188.67,166.47,207.34,211.71,216.46,213.24,213.63,198.84,179.29,222.39,,33,965,33,31,
24.06.23 12:23:41,10.78,203.68,195.18,190.61,203.79,179.54,175.6,191.94,216.18,197.63,203.39,196.95,205.73,195.57,185.4,184.66,170.43,202.9,195.99,191.49,207.89,195.95,190.62,183.23,233.37,,33,965,33,31.03,
24.06.23 12:23:56,11.03,214.18,200.8,192.69,195.33,178.5,194.47,181.36,213.39,214.13,200.44,206.53,207.1,198.79,197.76,191.9,184.08,206.51,211.12,198.31,196.78,199.65,201.71,185.34,226.99,,33,965,33,31.03,
24.06.23 12:24:11,11.28,205.32,194.65,189.83,204.59,186.39,186.27,183.72,202.61,196.8,200.71,195.05,205.73,201.75,205.43,188.94,179.5,207.62,207.88,198.04,205.09,215.81,201.13,186.4,227.86,,33,965,33,31.08,
24.06.23 12:24:27,11.55,206.15,198.92,196.62,200.6,193.32,191.02,179.26,226.93,206.24,202.05,207.91,198.12,222.99,202.13,192.17,182.19,206.51,220.32,196.67,203.14,220.47,207.19,183.76,222.68,,33,965,33,31.1,
24.06.23 12:24:42,11.8,214.74,194.38,182.37,201.66,199.52,182.6,182.67,217.02,206.52,203.13,190.74,203.27,201.48,195.05,197.06,174.41,207.34,207.88,201.9,200.64,197.8,200.27,180.86,211.33,,33,965,33,31.13,
24.06.23 12:24:57,12.05,219.22,190.15,193.48,211.03,176.41,201.18,172.26,220.68,196.25,211.81,207.91,198.12,208.56,189.13,190.55,176.55,207.06,207.88,193.94,200.09,220.2,184.17,183.76,207.14,,33,965,33,31.14,
24.06.23 12:25:12,12.3,209.18,193.05,197.93,195.59,182.95,193.94,177.96,220.12,190.5,200.71,200.76,203,206.37,189.67,183.06,177.35,203.73,202.05,194.48,206.48,205.52,197.42,181.12,217.54,,33,965,33,31.17,
