Measurement Name :,20230622_SDR710_Run02_Plate04_PI,,Generated On :,"22/06/2023, 17:48:24",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
22.06.23 14:47:01,26.55,197.74,180.72,188.49,176.48,186.27,188.83,199.27,190.02,196.91,191.25,190.47,184.73,199.82,199.84,190.85,183.5,189.31,184.32,185.94,184.01,217.65,169.41,175.49,204.94,,25,965,33,25.27,965D6-(E1);
22.06.23 14:47:16,26.8,188.49,188.91,183.12,175.41,175.27,169.01,196.14,191.42,192.31,164.33,198.98,197.88,194.1,172.97,190.01,182.11,205.59,173.1,185.66,203.01,204.45,173.82,157.44,190.25,,25,965,33,25.27,965D6-(E1);
22.06.23 14:47:31,27.05,190.79,167.12,181.52,170.11,184.57,177.47,205.29,161.71,178.43,166.5,187.1,192.25,182.82,184.58,180.05,182.67,192.7,184.89,180.54,175.72,221.22,190.37,190.08,203.81,,25,965,33,25.28,965D6-(E1);
22.06.23 14:47:46,27.3,181.07,195.19,177,176.48,184.57,165.23,193.88,218.27,196.62,160,174.62,180.87,184.5,177.37,183.35,187.41,204.15,178.4,176.88,202.71,191.8,178.54,192.93,162.2,,25,965,33,25.28,965D6-(E1);
22.06.23 14:48:01,27.55,187.05,193.76,173.05,179.7,178.08,187.44,198.99,192.26,173.96,164.6,177.92,210.16,195.53,184.86,193.37,179.9,216.11,172.27,188.51,180.57,212.34,184.15,188.95,189.7,,25,965,33,25.28,965D6-(E1);
22.06.23 14:48:16,27.8,183.63,185.22,169.91,175.68,173.04,191.92,200.13,192.26,165.4,175.56,182.63,187.51,194.96,175.44,196.46,165.7,173.99,152.59,188.51,205.09,197.52,174.65,188.38,174.86,,25,965,33,25.28,965D6-(E1);
22.06.23 14:48:31,28.05,202.71,195.48,195,178.62,194.01,184.09,202.42,203.27,172.57,180,196.13,188.06,190.41,189.91,180.05,179.35,191.85,190.01,194.85,205.09,178.57,183.3,209.41,190.52,,25,965,33,25.28,965D6-(E1);
22.06.23 14:48:46,28.3,182.49,187.2,175.42,156.02,182.87,187.71,179.07,197.6,172.29,158.92,189.62,189.45,179.75,202.42,169.98,167.05,172.07,160.71,192.54,186.9,194.36,178.82,181.34,180.75,,25,965,33,25.29,965D6-(E1);
22.06.23 14:49:01,28.55,190.21,172.91,180.19,167.74,173.88,172,176.32,206.99,180.39,179.17,197.27,193.37,200.11,184.58,196.18,176.87,199.83,179.81,203.59,204.79,182.2,153.95,207.07,181.02,,25,965,33,25.28,965D6-(E1);
22.06.23 14:49:16,28.8,183.34,175.68,194.18,165.11,182.02,178.84,177.42,199.29,178.15,185.88,188.78,213.05,199.82,182.35,193.65,174.95,195.54,175.61,174.07,187.19,179.68,181.9,177.71,182.37,,25,965,33,25.29,965D6-(E1);
22.06.23 14:49:31,29.05,202.42,184.94,172.26,178.35,159.81,181.88,194.44,188.08,199.8,175.29,196.13,202.7,185.06,183.47,206.7,182.95,215.52,192.3,187.94,190.38,197.23,182.18,189.51,200.46,,25,965,33,25.28,965D6-(E1);
22.06.23 14:49:46,29.3,188.49,181.28,170.43,164.33,187.41,181.88,185.17,177.61,191.16,183.08,180.13,183.63,200.11,180.97,193.09,189.65,193.83,177,189.95,196.81,177.45,169.69,179.38,192.44,,25,965,33,25.29,965D6-(E1);
22.06.23 14:50:01,29.55,196.28,184.66,174.1,165.37,194.58,180.22,189.09,204.7,165.12,173.91,190.19,183.9,203.28,171.06,180.87,184.62,207.04,159.89,172.12,196.81,176.34,178.27,134.71,162.98,,25,965,33,25.29,965D6-(E1);
22.06.23 14:50:16,29.8,191.07,182.12,169.12,158.34,179.48,187.99,183.23,197.88,190.59,179.73,191.6,180.6,197.53,195.28,180.6,174.4,194.97,190.87,172.12,186.61,196.94,173.82,191.79,186.43,,25,965,33,25.29,965D6-(E1);
22.06.23 14:50:31,30.05,195.7,186.92,177.8,187.53,190.27,188.27,195.01,224.44,174.24,187.86,187.1,197.88,192.96,179.03,195.34,181.28,179.24,177.28,193.98,204.2,178.29,181.9,201.84,195.47,,25,965,33,25.31,965D6-(E1);
22.06.23 14:50:46,30.3,202.71,196.92,178.06,185.63,190.56,185.48,184.89,200.71,182.36,192.67,183.19,204.7,202.42,190.19,191.69,172.76,222.32,163.99,193.11,194.46,198.95,195.79,185.55,191.35,,25,965,33,25.31,965D6-(E1);
22.06.23 14:51:01,30.55,181.92,158.66,169.38,180.23,188.55,183.26,172.21,177.33,155.06,181.12,179.58,185.84,184.5,191.03,178.13,171.94,173.99,169.49,172.67,171.75,203.29,172.44,175.49,178.06,,25,965,33,25.31,965D6-(E1);
22.06.23 14:51:16,30.8,177.39,186.07,172.52,185.09,173.04,177.19,191.9,170.82,186.61,181.68,190.19,196.18,200.11,201.84,181.7,178.8,205.59,153.94,192.83,172.03,186.42,173.82,160.96,202.42,,25,965,33,25.31,965D6-(E1);
22.06.23 14:51:31,31.05,189.35,190.62,167.04,178.35,176.11,176.37,188.81,179.25,190.31,188.42,192.16,191.69,176.14,165.9,177.58,178.52,179.51,196.04,184.23,190.38,210.87,172.44,186.96,185.89,,25,965,33,25.32,965D6-(E1);
22.06.23 14:51:46,31.3,181.07,169.59,184.73,182.66,193.72,190.51,189.93,179.52,186.32,187.29,183.47,211.6,196.96,194.71,165.41,161.4,185.09,164.26,187.08,201.23,186.98,183.58,196.94,191.9,,25,965,33,25.31,965D6-(E1);
22.06.23 14:52:01,31.55,177.67,177.92,172.26,174.88,181.46,177.19,181.56,186.13,177.03,187.01,185.7,177.86,202.13,190.19,179.5,177.97,184.53,174.21,180.54,194.17,190.09,166.4,176.87,185.35,,25,965,33,25.31,965D6-(E1);
22.06.23 14:52:16,31.8,194.83,182.4,175.42,176.75,185.71,185.76,167.32,219.15,190.02,198.1,166.71,178.95,182.82,196.13,189.73,192.18,203.57,185.45,182.81,205.09,193.51,194.36,208.82,191.9,,25,965,33,25.31,965D6-(E1);
22.06.23 14:52:31,32.05,170.94,179.31,170.43,187.26,160.9,189.39,184.62,199.29,153.98,165.14,184.58,203.84,174.49,169.43,181.7,165.97,180.63,171.16,183.38,218.02,183.88,183.3,152.35,198.24,,25,965,33,25.32,965D6-(E1);
22.06.23 14:52:46,32.3,187.34,175.13,179.39,196.86,185.71,181.6,191.34,195.06,209.15,183.08,200.98,203.84,189.85,201.27,197.31,194.44,179.51,186.31,181.68,195.05,207.94,179.1,195.79,187.52,,25,965,33,25.32,965D6-(E1);
22.06.23 14:53:01,32.55,183.34,193.47,168.34,187.26,189.98,197.57,194.44,194.22,190.88,196.95,193.29,199.86,204.15,177.09,201.28,186.01,202.7,179.81,184.8,179.14,181.36,192.93,156.91,196.86,,25,965,33,25.35,965D6-(E1);
22.06.23 14:53:16,32.8,181.07,183.25,178.06,185.9,165.29,174.45,197.56,206.13,180.39,196.38,191.88,189.45,177.8,195.84,183.08,180.45,185.09,174.49,194.85,196.22,181.36,200.1,172.99,183.45,,25,965,33,25.34,965D6-(E1);
22.06.23 14:53:31,33.05,195.41,189.19,186.87,194.93,193.43,193.33,196.71,247.28,204.17,188.42,204.14,219.75,190.98,193.01,198.73,195.57,170.7,178.4,177.44,182.86,195.79,185.27,197.51,179.14,,25,965,33,25.34,965D6-(E1);
22.06.23 14:53:46,33.3,180.22,183.53,165.22,184.01,171.09,185.21,189.65,182.27,182.36,188.14,192.16,193.09,193.82,201.84,190.85,194.72,203.86,144.31,181.11,221.06,181.08,175.49,218.56,209.44,,25,965,33,25.35,965D6-(E1);
22.06.23 14:54:01,33.55,197.45,194.33,177.53,170.64,200.08,179.12,193.03,182.82,173.68,180,174.07,183.35,190.13,178.47,189.45,178.24,200.12,158.26,171.28,185.45,209.99,177.15,169.69,196.58,,25,965,33,25.35,965D6-(E1);
22.06.23 14:54:16,33.8,190.21,184.37,183.65,185.09,168.88,179.94,184.62,174.34,168.97,163.78,193.86,199.29,178.91,185.98,175.13,182.95,180.35,193.16,168.22,162.78,192.08,188.66,184.15,181.29,,25,965,33,25.35,965D6-(E1);
22.06.23 14:54:31,34.05,193.67,184.37,164.19,169.58,185.99,171.73,181.56,191.7,179.27,173.35,173.25,197.59,184.78,193.01,179.77,177.42,172.89,173.65,180.83,188.35,194.94,183.58,176.04,192.44,,25,965,33,25.35,965D6-(E1);
22.06.23 14:54:46,34.3,191.65,176.24,175.68,170.11,165.29,181.05,179.62,190.02,189.45,187.01,176.54,190.85,185.62,191.88,197.31,183.23,196.4,165.36,174.35,200.05,178.29,176.04,174.38,191.62,,25,965,33,25.35,965D6-(E1);
22.06.23 14:55:01,34.55,199.2,197.78,171.21,183.47,194.58,187.99,177.42,210.15,183.77,181.96,202.7,206.7,192.68,191.88,190.57,191.9,196.11,177.28,178.57,210.47,180.24,201.26,196.94,197.96,,25,965,33,25.35,965D6-(E1);
22.06.23 14:55:16,34.8,186.77,192.9,186.34,191.63,192.57,192.76,187.41,200.14,149.96,193.52,196.7,203.84,195.81,195.56,184.46,191.05,217.88,167.29,174.91,184.01,211.75,169.14,209.7,192.99,,25,965,33,25.36,965D6-(E1);
22.06.23 14:55:31,35.05,187.63,175.13,183.39,183.2,175.27,166.85,179.62,186.97,207.68,162.7,199.55,202.42,167.9,189.62,175.95,196.43,178.68,176.44,190.52,188.06,205.03,180.78,168.59,184.8,,25,965,33,25.35,965D6-(E1);
22.06.23 14:55:46,35.3,193.67,180.43,180.45,178.62,173.04,175.82,190.77,208.13,171.19,179.73,191.31,177.31,173.66,202.99,184.73,191.34,199.83,163.99,176.88,181.71,193.51,184.15,176.6,193.27,,25,965,33,25.35,965D6-(E1);
22.06.23 14:56:01,35.55,201.24,183.25,177.53,181.85,182.3,174.73,199.56,186.69,177.31,173.08,194.71,200.71,191.83,185.98,196.46,200.13,194.12,193.73,185.37,194.46,200.97,201.26,194.36,189.43,,25,965,33,25.38,965D6-(E1);
22.06.23 14:56:16,35.8,192.52,197.5,191.47,179.7,184,197.57,198.99,188.63,175.35,182.8,192.73,197.59,197.53,187.66,190.85,195.01,196.4,184.6,190.23,188.64,212.04,203.29,213.23,193.27,,25,965,33,25.38,965D6-(E1);
22.06.23 14:56:31,36.05,195.41,221.3,188.76,175.95,188.27,186.32,221.64,188.63,185.75,205.31,190.19,197.03,193.25,201.56,186.95,196.43,181.74,173.93,190.52,197.69,204.16,188.38,207.65,228.11,,25,965,33,25.38,965D6-(E1);
22.06.23 14:56:46,36.3,188.49,180.43,174.63,163.28,190.56,185.21,190.77,197.32,184.34,172.25,191.31,195.06,184.78,174.35,177.31,185.73,202.42,186.31,198.62,203.31,221.82,180.22,166.67,185.62,,25,965,33,25.36,965D6-(E1);
22.06.23 14:57:01,36.55,181.35,187.49,182.05,177.82,182.3,186.88,175.5,186.13,163.21,164.87,182.63,202.99,186.18,183.75,178.13,185.17,183.69,181.78,180.26,176.57,182.2,172.44,165.58,204.38,,25,965,33,25.38,965D6-(E1);
22.06.23 14:57:16,36.8,205.06,189.48,192.82,186.99,174.44,201.27,197.56,212.75,200.09,161.08,168.61,195.34,201.55,177.09,194.77,196.14,191.28,171.99,197.17,199.16,174.96,183.02,195.21,197.13,,25,965,33,25.38,965D6-(E1);
22.06.23 14:57:31,37.05,189.92,185.22,167.04,188.62,183.72,186.32,195.86,199.86,193.46,192.96,174.89,167.02,172.01,181.52,192.53,180.45,190.15,178.97,171.56,183.15,182.76,191.5,199.24,162.98,,25,965,33,25.39,965D6-(E1);
22.06.23 14:57:46,37.3,197.16,186.64,175.68,182.12,157.63,190.23,181.84,224.44,184.34,203.28,187.94,188.06,179.47,178.2,171.87,181.84,200.98,147.5,196.88,197.69,190.38,181.9,205.03,185.89,,25,965,33,25.39,965D6-(E1);
22.06.23 14:58:01,37.55,188.49,170.69,182.85,175.95,158.45,169.55,203.56,196.47,177.87,165.69,182.63,193.37,179.75,199.26,186.95,194.44,186.21,199.8,191.96,192.13,172.2,172.17,182.74,161.94,,25,965,33,25.39,965D6-(E1);
22.06.23 14:58:16,37.8,192.52,189.19,182.32,194.93,196.89,170.1,192.75,193.1,161.84,180,185.42,185.56,186.18,180.69,180.32,191.34,208.5,183.19,179.98,192.13,197.23,176.32,203.87,206.9,,25,965,33,25.39,965D6-(E1);
22.06.23 14:58:31,38.05,181.92,194.33,180.45,182.93,190.27,194.46,187.97,195.91,182.64,168.96,201.84,182.8,187.59,169.43,186.12,180.18,178.68,154.74,201.83,194.17,175.51,176.6,216.19,173.26,,25,965,33,25.41,965D6-(E1);
22.06.23 14:58:46,38.3,186.48,174.29,178.06,174.08,167.49,170.37,178.8,200.71,198.35,161.08,184.58,197.59,195.24,167.52,169.98,183.23,219.95,184.89,194.85,190.38,185.01,172.99,179.66,197.41,,25,965,33,25.39,965D6-(E1);
22.06.23 14:59:01,38.55,203.89,196.06,183.92,181.31,185.71,197.57,205,200.14,164.58,185.88,205.87,204.7,206.47,189.06,184.73,190.21,179.24,208.57,204.47,195.34,187.54,202.13,198.37,167.97,,25,965,33,25.42,965D6-(E1);
22.06.23 14:59:16,38.8,179.37,181.84,180.19,181.04,184.57,178.57,184.34,207.56,175.35,194.95,186.54,185.29,184.5,176.54,190.57,202.7,194.97,165.64,181.11,188.93,177.18,177.99,190.08,179.41,,25,965,33,25.42,965D6-(E1);
22.06.23 14:59:32,39.07,192.23,174.57,171.21,185.9,180.33,177.74,182.67,197.32,173.96,184.76,170.24,209.29,200.69,175.44,197.31,198.99,146.3,175.05,183.38,180.28,194.36,201.84,161.23,208.59,,25,965,33,25.42,965D6-(E1);
22.06.23 14:59:47,39.32,199.2,187.49,172.52,171.96,190.84,199.28,187.13,216.81,197.49,176.39,188.22,206.7,172.01,188.78,187.23,207.89,189.87,168.11,179.41,193,191.8,160.69,232.69,165.34,,25,965,33,25.42,965D6-(E1);
22.06.23 15:00:02,39.57,197.45,195.19,179.12,172.23,184.57,196.44,181.56,188.35,198.35,197.24,181.8,195.34,185.06,183.47,196.75,183.23,196.11,174.77,169.61,186.32,201.55,178.27,207.07,185.35,,25,965,33,25.42,965D6-(E1);
22.06.23 15:00:17,39.82,186.19,179.31,175.16,169.32,185.42,186.04,190.21,209.57,182.08,195.52,184.3,192.25,186.46,182.91,180.6,187.41,187.33,160.44,210.08,193.59,196.94,176.87,219.45,207.75,,25,965,33,25.42,965D6-(E1);
22.06.23 15:00:32,40.07,179.09,177.36,181.25,178.62,150.07,187.71,174.67,204.7,179.83,179.17,180.13,169.98,185.34,183.19,173.77,176.87,184.81,160.98,171.56,182.57,174.96,186.68,182.46,177.8,,25,965,33,25.42,965D6-(E1);
22.06.23 15:00:47,40.32,193.96,173.46,169.38,174.08,178.08,204.14,193.03,197.03,181.24,210.27,181.24,189.73,185.34,185.98,188.06,177.69,169.33,169.77,193.98,192.13,212.93,202.42,180.22,185.89,,25,965,33,25.42,965D6-(E1);
22.06.23 15:01:02,40.57,180.22,186.64,183.12,164.85,199.79,188.27,196.14,200.14,175.35,171.7,174.07,186.95,176.97,192.44,168.9,208.18,182.02,176.72,190.81,203.6,229.33,193.78,182.74,182.91,,25,965,33,25.42,965D6-(E1);
22.06.23 15:01:17,40.82,185.62,182.96,168.08,172.76,158.18,175,187.69,196.75,191.16,189.83,193.29,192.25,184.5,182.35,177.31,193.31,175.09,162.08,178.85,194.76,217.65,157.71,187.53,195.2,,25,965,33,25.43,965D6-(E1);
22.06.23 15:01:32,41.07,195.7,188.91,180.45,188.9,182.02,201.27,210.21,202.42,155.6,189.27,192.73,200.71,204.15,179.03,183.9,198.13,201.27,177.28,188.51,203.31,199.82,185.27,166.95,186.98,,25,965,33,25.45,965D6-(E1);
22.06.23 15:01:47,41.32,192.23,185.79,180.45,175.68,191.13,205,189.09,220.32,186.32,195.81,180.41,190.85,184.22,182.08,168.63,192.75,173.71,179.81,173.79,195.34,211.75,188.38,170.51,168.76,,25,965,33,25.43,965D6-(E1);
22.06.23 15:02:02,41.57,184.77,184.09,174.89,178.62,156.28,186.88,192.46,206.7,175.07,177.78,193.01,175.95,188.72,157.57,168.9,177.97,143.68,184.89,192.25,180.28,184.44,168.32,143.86,206.06,,25,965,33,25.45,965D6-(E1);
22.06.23 15:02:17,41.82,186.19,177.92,175.95,166.16,153.84,191.64,186.29,220.03,197.2,196.09,187.66,191.41,202.71,175.99,204.13,180.45,166.06,177.84,171.28,204.2,186.42,164.76,201.84,196.03,,25,965,33,25.46,965D6-(E1);
22.06.23 15:02:32,42.07,189.92,179.03,182.32,186.72,177.51,190.51,192.75,214.49,159.39,187.86,190.75,179.5,192.11,187.94,168.36,186.85,190.15,181.78,183.09,172.88,191.8,178.54,202.42,198.52,,25,965,33,25.46,965D6-(E1);
22.06.23 15:02:47,42.32,193.1,188.62,179.65,179.7,166.67,172.27,193.03,196.75,197.78,185.88,205.3,214.5,176.7,173.25,183.08,192.75,202.42,176.72,198.04,200.64,206.77,186.96,210,201.58,,25,965,33,25.46,965D6-(E1);
22.06.23 15:03:02,42.57,175.14,195.48,174.63,194.38,198.63,178.84,203.85,193.1,182.64,182.8,193.29,200.43,187.87,191.31,187.78,182.95,189.59,177,187.94,194.46,215.88,192.07,198.09,169.55,,25,965,33,25.48,965D6-(E1);
22.06.23 15:03:17,42.82,188.49,182.96,174.89,185.36,187.41,182.43,187.97,182.54,166.77,180,171.88,187.23,190.98,191.31,188.34,185.73,187.33,190.58,180.26,183.44,197.52,173.55,181.06,177.8,,25,965,33,25.46,965D6-(E1);
22.06.23 15:03:32,43.07,191.65,183.25,168.08,170.11,178.92,188.83,195.29,211.59,190.02,171.43,183.19,197.59,193.53,184.86,188.62,180.45,185.65,180.37,178.57,205.09,203.29,181.34,205.61,202.7,,25,965,33,25.46,965D6-(E1);
22.06.23 15:03:47,43.32,193.67,168.77,184.73,174.88,172.76,174.18,189.65,190.58,180.39,193.52,180.41,184.46,175.04,196.7,181.7,187.13,186.77,175.05,185.66,197.1,187.26,177.99,161.5,163.77,,25,965,33,25.46,965D6-(E1);
22.06.23 15:04:02,43.57,183.34,168.49,163.67,178.62,160.36,183.26,173.3,192.54,171.19,159.46,188.22,176.76,176.42,180.97,186.95,166.24,188.74,186.02,176.03,177.99,186.7,160.96,136.79,191.9,,25,965,33,25.46,965D6-(E1);
22.06.23 15:04:17,43.82,195.41,173.18,180.45,171.7,188.27,176.92,176.32,202.13,179.27,171.43,177.92,179.23,190.13,201.84,186.4,173.58,179.24,173.65,185.09,186.9,202.42,177.15,165.31,198.8,,25,965,33,25.48,965D6-(E1);
22.06.23 15:04:32,44.07,191.07,189.76,178.06,178.09,170.26,197.29,198.13,214.2,188.6,178.61,202.99,204.13,183.1,186.26,190.29,182.67,196.97,198.35,191.1,199.46,189.81,175.21,215,187.25,,25,965,33,25.48,965D6-(E1);
22.06.23 15:04:47,44.32,180.5,186.92,189.3,196.58,199.21,173.91,191.34,192.26,187.46,184.76,185.98,201.85,173.11,184.58,196.46,191.9,192.7,183.75,188.8,194.46,207.07,192.07,201.26,198.52,,25,965,33,25.49,965D6-(E1);
22.06.23 15:05:02,44.57,190.21,184.94,176.74,163.54,158.72,186.6,187.13,209.57,196.04,174.73,184.3,193.37,174.21,189.62,187.51,206.44,196.68,187.16,186.23,187.77,223.61,185.27,185.84,170.61,,25,965,33,25.48,965D6-(E1);
22.06.23 15:05:17,44.82,192.52,189.19,181.78,180.77,184.29,189.11,191.9,213.04,180.11,195.52,184.58,193.09,181.98,207.32,196.75,190.21,175.37,186.87,185.37,211.37,203.58,144.12,198.09,180.48,,25,965,33,25.49,965D6-(E1);
22.06.23 15:05:33,45.08,195.99,178.75,183.12,172.49,165.56,179.67,176.87,197.32,178.43,170.33,194.14,199.86,178.91,197.84,181.15,183.78,214.64,198.06,206.24,168.65,188.96,171.06,144.65,187.52,,25,965,33,25.49,965D6-(E1);
22.06.23 15:05:48,45.33,188.2,177.08,164.96,160.42,176.11,167.39,206.73,199.86,190.31,183.08,176.27,182.8,185.62,193.01,171.87,193.31,170.15,152.59,182.24,192.13,198.66,180.78,177.15,193.54,,25,965,33,25.49,965D6-(E1);
22.06.23 15:06:03,45.58,193.38,180.43,175.68,174.08,166.67,189.95,194.72,188.35,176.19,176.95,201.27,185.84,175.87,193.86,175.95,181.28,189.87,185.17,185.66,188.35,185.85,198.95,169.41,181.29,,25,965,33,25.49,965D6-(E1);
22.06.23 15:06:18,45.83,200.95,191.47,167.82,182.39,178.36,181.32,196.71,207.85,192.31,166.78,189.06,198.73,192.96,190.47,199.57,195.29,204.73,177.84,176.03,182,209.99,188.1,173.27,176.19,,25,965,33,25.49,965D6-(E1);
22.06.23 15:06:33,46.08,205.06,188.62,184.19,162.24,185.99,199.56,187.13,228.58,194.32,166.23,195.28,183.63,184.22,188.78,194.21,191.62,177.57,186.87,192.25,193.59,194.65,165.31,170.24,181.56,,25,965,33,25.52,965D6-(E1);
22.06.23 15:06:48,46.33,197.45,181.84,166.78,161.72,168.05,181.32,172.21,172.17,180.67,171.15,176.54,180.32,181.14,171.61,180.6,191.9,174.26,164.26,173.79,178.85,216.17,169.69,181.9,178.06,,25,965,33,25.52,965D6-(E1);
22.06.23 15:07:03,46.58,188.77,175.13,178.33,171.43,185.14,191.92,194.44,202.42,194.32,178.06,189.06,183.9,170.64,189.62,193.93,179.07,175.37,165.09,175.19,185.74,198.95,166.67,186.4,199.35,,25,965,33,25.52,965D6-(E1);
22.06.23 15:07:18,46.83,183.91,186.07,183.12,173.55,173.32,193.33,186.85,195.06,193.17,176.39,193.29,214.5,183.66,158.64,209.58,196.43,193.55,195.17,206.53,200.05,206.48,187.25,198.37,191.07,,25,965,33,25.52,965D6-(E1);
22.06.23 15:07:33,47.08,181.07,178.47,181.52,169.32,187.13,176.37,174.4,191.42,166.22,171.43,187.94,191.69,177.53,179.03,172.68,186.01,186.77,169.22,206.24,173.73,191.23,168.04,172.72,176.19,,25,965,33,25.53,965D6-(E1);
22.06.23 15:07:49,47.35,190.5,186.64,177.8,176.22,182.3,180.22,189.93,218.86,184.62,191.82,197.55,192.25,174.76,197.84,170.79,193.03,181.74,155.56,185.37,202.42,195.79,181.34,184.15,177.26,,25,965,33,25.53,965D6-(E1);
22.06.23 15:08:04,47.6,191.07,185.79,187.41,173.29,150.61,186.88,177.42,209.28,177.03,172.8,199.55,208.43,179.19,175.99,195.06,205.29,189.59,180.65,186.51,208.67,199.53,171.06,188.1,179.14,,25,965,33,25.53,965D6-(E1);
22.06.23 15:08:19,47.85,184.48,191.47,173.84,185.36,168.05,178.29,186.85,187.8,198.64,163.24,190.75,192.25,185.06,161.59,194.49,196.43,202.99,200.96,178.57,187.48,213.22,196.65,208.53,192.99,,25,965,33,25.53,965D6-(E1);
22.06.23 15:08:34,48.1,182.77,185.79,182.32,188.08,199.5,195.59,188.81,212.75,179.83,170.06,183.19,197.88,190.41,193.58,195.62,188.25,200.69,184.89,184.8,195.34,177.45,165.03,179.38,182.37,,25,965,33,25.53,965D6-(E1);
22.06.23 15:08:49,48.35,185.62,185.5,179.65,170.64,164.19,184.65,186.01,192.82,180.67,191.25,193.29,188.9,186.74,184.02,175.67,188.81,200.69,171.43,191.39,215.29,209.4,171.06,190.37,167.97,,25,965,33,25.53,965D6-(E1);
22.06.23 15:09:04,48.6,185.34,196.34,178.33,182.93,151.14,189.67,187.13,184.2,181.52,185.6,193.58,192.53,182.82,193.01,187.23,189.65,190.72,162.62,173.23,192.71,197.8,144.12,162.58,183.72,,25,965,33,25.54,965D6-(E1);
22.06.23 15:09:19,48.85,199.49,178.19,185.26,175.68,191.42,189.11,203.85,201,182.36,146.14,210.51,196.18,191.26,188.22,196.75,195.01,170.15,176.44,193.11,205.09,209.99,192.36,198.66,182.1,,25,965,33,25.54,965D6-(E1);
22.06.23 15:11:32,51.07,219.67,190.33,172.26,194.1,154.11,192.76,184.06,199.29,164.03,181.68,205.58,198.16,199.54,186.82,183.9,182.39,188.74,213.89,196.59,198.28,193.51,206.19,203,190.52,,25,965,33,25.6,965D6-(E1);
22.06.23 15:11:47,51.32,200.07,200.39,210.77,187.53,202.12,186.32,205,207.56,201.83,176.39,223.45,210.44,198.39,202.99,201.28,189.93,163.63,193.45,191.39,198.58,220.03,185.27,177.15,188.88,,25,965,33,25.6,965D6-(E1);
22.06.23 15:12:02,51.57,205.65,203.87,163.15,188.9,189.41,179.94,188.25,207.56,198.93,211.73,188.78,204.41,189.85,178.2,202.42,200.7,199.54,176.44,180.83,197.1,205.9,176.04,196.07,173.26,,25,965,33,25.63,965D6-(E1);
22.06.23 15:12:17,51.82,188.2,191.47,169.91,177.82,168.6,192.48,183.5,198.73,201.83,173.63,182.91,189.73,201.26,186.54,177.04,174.4,213.17,198.64,203.88,225.04,226.62,165.58,208.53,179.41,,25,965,33,25.63,965D6-(E1);
22.06.23 15:12:32,52.07,183.91,177.64,164.71,171.43,189.13,190.8,192.46,184.2,201.54,171.98,183.19,201.28,187.31,177.37,187.78,164.08,177.3,190.01,191.67,211.97,167.8,181.06,149.15,172.2,,25,965,33,25.64,965D6-(E1);
22.06.23 15:12:47,52.32,202.12,201.26,193.64,179.43,168.88,201.27,197.28,205.27,200.67,205.31,189.06,199.01,190.13,193.29,205.27,172.49,192.7,187.44,191.67,201.82,203.58,183.3,182.18,176.46,,25,965,33,25.66,965D6-(E1);
22.06.23 15:13:02,52.57,188.2,176.52,184.46,192.73,193.43,220.72,184.89,199.58,197.49,171.43,201.27,178.68,173.38,163.74,183.35,177.42,214.93,164.26,189.95,193.59,179.12,127.49,206.78,176.73,,25,965,33,25.67,965D6-(E1);
22.06.23 15:13:17,52.82,193.38,190.05,171.74,190.54,183.15,182.15,190.49,214.2,178.71,191.25,179.03,204.41,183.94,173.25,192.25,166.24,212.58,168.67,156.95,172.88,196.94,146.24,148.62,172.73,,25,965,33,25.67,965D6-(E1);
22.06.23 15:13:32,53.07,200.66,186.07,172.26,181.04,176.39,169.28,198.42,182.27,148.62,187.86,183.75,206.13,190.69,181.24,183.08,186.29,234.94,178.4,191.1,190.09,189.24,171.61,191.79,145.74,,25,965,33,25.69,965D6-(E1);
22.06.23 15:13:46,53.3,193.96,190.62,169.12,181.85,198.34,167.66,193.31,199.29,200.38,156.77,170.79,192.25,163.82,170.24,182.52,187.97,192.7,178.12,200.95,182,169.44,183.02,206.19,185.35,,25,965,33,25.7,965D6-(E1);
22.06.23 15:14:01,53.55,180.22,185.22,156.99,172.49,165.84,188.83,186.85,186.69,167.6,187.01,197.55,190.57,178.36,195.28,177.86,174.13,187.9,203.58,194.56,177.99,172.75,196.94,165.03,197.69,,25,965,33,25.71,965D6-(E1);
22.06.23 15:14:16,53.8,203,196.63,196.37,184.55,191.7,215.43,202.99,181.17,187.74,179.73,209.93,206.7,194.39,188.5,200.14,198.42,183.69,203.29,193.69,184.88,193.51,169.14,204.74,187.25,,25,965,33,25.71,965D6-(E1);
22.06.23 15:14:31,54.05,201.54,192.33,187.14,187.53,184.29,192.76,180.18,201.28,195.76,184.48,197.55,201.28,175.87,171.88,206.42,193.59,165.52,157.99,198.33,193,200.11,182.18,183.58,178.6,,25,965,33,25.71,965D6-(E1);
