"","Metabolite","term","df","sumsq","statistic","p.value","adj_pvalues"
"85","Isobutylamine-2TMS","temperature",2,5.30259116670588e-07,1.04108141325861,0.361801043558582,0.782499931417398
"86","Isobutylamine-2TMS","parent",2,1.26270011800262e-07,0.247911555321477,0.781536720566481,0.973097708103639
"87","Isobutylamine-2TMS","temperature:parent",4,2.44688126873916e-07,0.240203565506777,0.914005024419249,0.973097708103639
"88","Isoleucine-2TMS","temperature",2,4.04634459331537e-08,0.471855434223102,0.627035502742453,0.87486199752807
"89","Isoleucine-2TMS","parent",2,1.80463403422465e-07,2.10443365906007,0.134296536845088,0.708242763422745
"90","Isoleucine-2TMS","temperature:parent",4,2.25034558256852e-07,1.31209511143599,0.280720963218051,0.747644792816088
"91","Lactic acid-2TMS","temperature",2,4.31821994776553e-05,0.767971454521862,0.470211001555137,0.849424541439587
"92","Lactic acid-2TMS","parent",2,5.2281639075445e-05,0.929799938197511,0.402421142554289,0.823526011612391
"93","Lactic acid-2TMS","temperature:parent",4,0.000284988086046188,2.53417748064852,0.0538620597323649,0.690240779089083
"94","Leucine-2TMS","temperature",2,5.28878188239097e-07,0.522090088461916,0.596991829354686,0.870222233997532
"95","Leucine-2TMS","parent",2,2.85922142313031e-06,2.8225235960373,0.0705084666811429,0.690240779089083
"96","Leucine-2TMS","temperature:parent",4,3.79294048828533e-06,1.87212923419374,0.132748973359256,0.708242763422745
"97","Linoleic acid-TMS","temperature",2,5.27280737617169e-09,0.11145781962799,0.89478670204908,0.973097708103639
"98","Linoleic acid-TMS","parent",2,1.95633147585886e-09,0.0413533863865798,0.959528109974113,0.975258078990082
"99","Linoleic acid-TMS","temperature:parent",4,1.44703301494716e-07,1.52938589701361,0.210655455317669,0.715427604316162
"100","Mannitol-6TMS","temperature",2,1.71813340433335e-08,1.37947222765709,0.262626074356566,0.734410199543197
"101","Mannitol-6TMS","parent",2,2.62414095689546e-09,0.210689668355488,0.81085661995126,0.973097708103639
"102","Mannitol-6TMS","temperature:parent",4,2.28265025679879e-08,0.916358597873264,0.463153578250717,0.849424541439587
"103","meso-Erythritol-4TMS","temperature",2,4.91103573280109e-10,0.517552145602068,0.599642858973464,0.870222233997532
"104","meso-Erythritol-4TMS","parent",2,1.33662941819376e-09,1.40861411095142,0.255536139021002,0.734410199543197
"105","meso-Erythritol-4TMS","temperature:parent",4,1.79585586839727e-09,0.946286189360454,0.446595463252696,0.847619960867362
"106","Monostearin-2TMS","temperature",2,2.02938426058014e-11,0.242210822322888,0.785954280392796,0.973097708103639
"107","Monostearin-2TMS","parent",2,8.45591715525367e-11,1.00922959118778,0.372969503995623,0.797383077507884
"108","Monostearin-2TMS","temperature:parent",4,3.06233745817992e-10,1.82747863079391,0.141035357790986,0.708242763422745
"109","Myristic acid-TMS","temperature",2,4.92303199688515e-08,0.917140710407464,0.407335446603978,0.823526011612391
"110","Myristic acid-TMS","parent",2,8.58718645139312e-09,0.159975768742008,0.852669266746252,0.973097708103639
"111","Myristic acid-TMS","temperature:parent",4,2.62679805510234e-07,2.44680862919212,0.0606705987801079,0.690240779089083
"112","Nonadecanoic acid-TMS","temperature",2,8.55740503352642e-10,1.41248523519978,0.254609514517907,0.734410199543197
"113","Nonadecanoic acid-TMS","parent",2,5.1874488030427e-11,0.0856240275404272,0.918095393316258,0.973097708103639
"114","Nonadecanoic acid-TMS","temperature:parent",4,2.87659023215845e-09,2.37404985198494,0.066997819042764,0.690240779089083
"115","Nonanoic acid-TMS","temperature",2,1.62591424343456e-07,0.336674994946379,0.71600641889022,0.951265670811292
"116","Nonanoic acid-TMS","parent",2,3.27639011112521e-07,0.678435919089632,0.51275772128341,0.870222233997532
"117","Nonanoic acid-TMS","temperature:parent",4,2.04018030780904e-06,2.11228143672068,0.0957456411031813,0.705797998034947
"118","Norvaline-2TMS","temperature",2,2.38109780511746e-07,0.629466845673531,0.537714126015287,0.870222233997532
"119","Norvaline-2TMS","parent",2,7.11029010259388e-07,1.87967578361726,0.164967911202096,0.708242763422745
"120","Norvaline-2TMS","temperature:parent",4,1.2492234963537e-06,1.6512231713057,0.178932234307881,0.708242763422745
"121","Octadecanol-TMS","temperature",2,4.79573386474629e-09,1.11675723508914,0.336646927789791,0.772760079412398
"122","Octadecanol-TMS","parent",2,3.23934416442464e-09,0.754328979587021,0.476447504050604,0.850789431586633
"123","Octadecanol-TMS","temperature:parent",4,1.71890936412395e-08,2.00136675948493,0.111362701695604,0.708242763422745
"124","Octanoic acid-TMS","temperature",2,1.93547254054121e-07,0.771166355744656,0.468762872541357,0.849424541439587
"125","Octanoic acid-TMS","parent",2,5.43397714663831e-08,0.216510452388079,0.806196670039317,0.973097708103639
"126","Octanoic acid-TMS","temperature:parent",4,8.48969481884852e-07,1.69130971318379,0.169533014814902,0.708242763422745
"127","Palmitic acid-TMS","temperature",2,6.30000321137225e-06,0.83454991565438,0.440978057623656,0.845586790907218
"128","Palmitic acid-TMS","parent",2,5.79458970068028e-06,0.767598711255438,0.470380256818696,0.849424541439587
"129","Palmitic acid-TMS","temperature:parent",4,3.60196511822134e-05,2.38572869310242,0.0659392260933778,0.690240779089083
"130","Pentadecanoic acid-TMS","temperature",2,7.40356865435605e-06,0.969448683829959,0.387427042702566,0.818879885712241
"131","Pentadecanoic acid-TMS","parent",2,3.8486295008188e-07,0.0503952752828557,0.950909575074488,0.975258078990082
"132","Pentadecanoic acid-TMS","temperature:parent",4,4.85431035395242e-05,3.17820027289977,0.0225335965892096,0.690240779089083
"133","Phenylalanine-2TMS","temperature",2,5.41540122816394e-09,0.51870223477763,0.59896982276876,0.870222233997532
"134","Phenylalanine-2TMS","parent",2,4.6973617817142e-08,4.49926413773828,0.0168176062208806,0.690240779089083
"135","Phenylalanine-2TMS","temperature:parent",4,3.88333597223853e-08,1.85978375592627,0.134991267434525,0.708242763422745
"136","Phosphoric acid-3TMS","temperature",2,5.14576729036042e-05,0.669856938129235,0.517040710535658,0.870222233997532
"137","Phosphoric acid-3TMS","parent",2,1.06775899079982e-05,0.13899691297292,0.870620124462261,0.973097708103639
