Measurement Name :,20230623_SDR710_Run09_Plate18_TPC,,Generated On :,"23/06/2023, 18:19:23",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
23.06.23 17:52:56,1.78,138.61,140.89,150.6,148.83,145.07,145.92,138.45,145.49,140.79,143.14,141.62,146.79,139.93,145.7,145.27,141.54,140.05,140.06,145.49,135.8,139.89,143.26,141.08,143.83,,39,965,33,33.94,
23.06.23 17:53:11,2.03,139.65,141.52,151.89,151.77,145.49,146.14,140.78,145.06,140.79,143.78,145.27,146.36,140.95,145.7,145.49,141.54,138.38,140.73,146.77,135.8,140.09,143.7,143.39,143.83,,39,965,33,33.92,
23.06.23 17:53:26,2.28,139.44,141.31,151.89,151.14,145.28,148.52,140.57,144.85,141.01,145.7,145.06,146.79,141.57,147.01,146.36,142.19,139.84,141.63,146.77,134.95,139.89,142.81,142.34,144.03,,39,965,33,33.91,
23.06.23 17:53:41,2.53,141.31,141.31,153.61,151.77,146.34,148.31,142.28,142.93,139.31,146.56,145.27,148.1,141.57,147.66,147.44,141.98,140.05,142.09,147.84,133.04,141.09,143.92,140.46,143.62,,39,965,33,33.92,
23.06.23 17:53:56,2.78,140.69,142.77,153.83,150.51,147.62,148.96,142.49,143.99,140.79,146.56,144.84,148.31,141.57,148.53,149.18,142.41,140.05,142.99,148.05,133.25,140.69,144.59,141.5,144.45,,39,965,33,33.94,
23.06.23 17:54:11,3.03,140.27,142.98,155.34,152.62,147.62,147.44,143.99,144.21,139.52,147.21,145.92,147.23,142.6,149.4,150.28,141.32,141.51,142.99,148.48,133.88,141.09,143.26,141.08,144.66,,39,965,33,33.94,
23.06.23 17:54:26,3.28,140.27,141.52,154.47,151.98,147.62,147.65,143.77,144.21,140.37,147.21,145.92,147.44,143.22,149.4,148.53,141.32,142.55,143.44,149.77,134.1,140.89,143.03,143.6,144.66,,39,965,33,33.94,
23.06.23 17:54:41,3.53,140.69,144.03,155.77,152.62,148.91,147.44,143.13,143.57,140.37,146.56,146.14,147.23,143.43,149.62,149.18,140.67,142.13,143.44,149.55,134.73,141.29,141.48,142.55,144.66,,39,965,33,33.96,
23.06.23 17:54:56,3.78,141.94,141.94,155.99,153.04,146.77,148.52,142.7,143.14,140.37,148.29,147,145.49,144.25,148.96,150.28,141.76,142.97,144.34,150.2,132.19,141.49,142.59,140.88,144.66,,39,965,33,33.96,
23.06.23 17:55:11,4.03,141.94,142.77,156.42,153.67,149.12,145.92,143.56,143.57,140.37,148.29,145.27,148.31,143.43,150.49,150.5,141.1,142.76,144.12,150.84,131.56,142.09,142.15,140.04,145.29,,39,965,33,34,
23.06.23 17:55:26,4.28,142.14,143.4,156.64,152.83,148.26,146.35,144.42,144.21,139.95,148.72,145.92,149.84,143.01,149.62,149.18,140.67,140.88,143.67,151.49,131.14,141.49,140.82,140.25,146.33,,39,965,33,34,
23.06.23 17:55:41,4.53,141.52,143.19,155.12,151.98,148.91,142.9,143.77,143.35,139.95,147.43,147.22,147.44,143.01,149.4,149.84,141.98,139.63,143.44,151.92,128.4,142.69,140.38,140.04,145.91,,39,965,33,34,
23.06.23 17:55:56,4.78,141.52,142.98,156.21,152.19,149.33,146.35,144.85,144.85,140.16,147.86,147,148.75,143.84,149.18,148.97,143.51,139.01,144.12,151.92,127.77,143.89,139.5,141.71,145.5,,39,965,33,34.05,
23.06.23 17:56:11,5.03,140.27,141.1,155.56,152.19,148.91,145.06,144.85,144.63,138.04,148.29,146.14,146.57,144.05,149.4,148.09,142.63,138.18,143.67,151.7,128.19,143.69,137.96,141.08,145.29,,39,965,33,34.08,
23.06.23 17:56:26,5.28,140.89,142.14,156.21,152.19,149.55,145.92,144.63,144.85,136.78,149.8,146.79,145.49,142.19,148.74,149.62,145.04,140.46,143.89,151.49,127.98,142.89,139.28,140.46,145.5,,39,965,33,34.09,
23.06.23 17:56:41,5.53,140.27,141.52,155.99,153.04,150.41,143.33,143.77,145.92,137.62,148.29,146.35,145.7,142.19,149.4,149.4,145.48,138.18,143.21,152.78,127.98,143.09,138.84,140.46,145.7,,39,965,33,34.1,
23.06.23 17:56:56,5.78,139.65,141.73,155.56,151.98,148.48,142.9,143.77,145.28,137.41,147.64,147.65,144.84,142.6,148.96,149.18,144.39,138.59,143.67,152.78,126.1,144.9,136.42,140.25,146.96,,39,965,33,34.11,
23.06.23 17:57:11,6.03,139.23,141.1,156.64,150.93,147.62,141.83,143.99,143.99,136.78,147.21,146.57,144.19,142.81,149.4,148.75,144.39,137.35,143.67,152.78,124.65,143.29,135.77,138.79,145.7,,39,965,33,34.13,
23.06.23 17:57:26,6.28,138.82,139.44,156.86,148.41,148.48,142.04,143.56,144.85,136.57,146.35,145.7,143.11,141.98,149.4,148.75,143.07,137.14,143.44,152.78,122.78,139.89,138.18,138.79,145.5,,39,965,33,34.17,
23.06.23 17:57:41,6.53,139.85,140.06,158.16,147.79,149.76,140.97,142.06,146.13,136.36,145.06,145.92,141.39,143.63,147.87,148.53,142.41,135.08,143.89,153,122.99,140.69,135.33,140.25,146.33,,39,965,33,34.19,
23.06.23 17:57:56,6.78,138.2,139.44,155.99,146.95,148.91,141.4,142.92,142.5,135.94,145.28,145.92,142.03,142.19,147.87,149.18,142.63,133.23,142.99,153.43,122.78,140.49,134.46,139.83,146.33,,39,965,33,34.21,
23.06.23 17:58:11,7.03,138.82,138.61,155.12,146.95,149.98,140.97,141.85,141.65,136.15,144.63,145.06,143.76,141.98,147.01,149.84,141.1,132.82,142.31,152.57,122.36,139.89,135.11,138.38,146.33,,39,965,33,34.21,
23.06.23 17:58:26,7.28,137.37,139.85,155.56,148.21,150.41,140.97,141,139.53,135.94,144.42,145.7,141.17,141.98,148.31,148.75,140.23,133.84,142.09,153,123.61,139.49,134.46,138.58,148.64,,39,965,33,34.24,
23.06.23 17:58:41,7.53,138.2,138.82,157.07,148.21,149.33,140.76,140.78,138.26,135.94,145.28,146.14,140.32,144.25,149.18,149.4,140.23,132.2,143.21,153,122.16,139.09,133.8,138.79,148.01,,39,965,33,34.28,
23.06.23 17:58:56,7.78,138.61,138.2,153.4,146.54,148.69,139.9,140.15,138.89,134.89,143.78,145.06,140.53,145.5,148.96,150.06,141.32,130.78,142.76,152.35,121.95,142.29,133.8,139,145.08,,39,965,33,34.3,
23.06.23 17:59:11,8.03,138.61,137.17,155.34,146.33,148.48,139.05,139.72,137.84,135.52,143.78,146.57,139.46,141.36,147.66,148.09,140.23,129.76,142.31,152.14,120.51,138.9,134.89,135.07,145.5,,39,965,33,34.31,
23.06.23 17:59:26,8.28,137.99,139.03,155.77,147.16,147.84,139.48,139.51,140.16,133.63,143.35,146.14,139.03,142.81,146.57,147.88,137.63,130.57,142.76,153,120.51,139.69,132.93,135.69,146.12,,39,965,33,34.34,
23.06.23 17:59:41,8.53,137.78,139.65,155.12,147.58,151.27,141.83,140.15,139.32,132.8,144.2,145.92,140.53,142.6,147.87,148.09,135.9,133.43,142.54,152.35,120.3,138.1,131.41,135.89,144.87,,39,965,33,34.36,
23.06.23 17:59:56,8.78,137.17,137.17,156.21,147.79,150.19,142.04,140.36,136.16,131.55,143.14,144.63,138.18,140.34,144.84,147.44,134.39,130.78,142.31,152.78,119.89,137.71,130.77,134.24,145.29,,39,965,33,34.38,
23.06.23 18:00:11,9.03,136.34,136.14,155.56,144.25,150.19,140.97,138.24,137.21,132.59,145.06,143.12,139.03,139.93,145.49,147.22,131.4,129.35,141.18,152.35,117.84,138.1,129.69,134.24,145.5,,39,965,33,34.42,
23.06.23 18:00:26,9.28,136.55,136.55,156.42,144.87,150.41,141.19,138.87,137,134.05,142.07,142.9,140.53,140.54,145.27,147.66,130.76,128.74,141.18,153.87,117.63,140.29,130.12,133.42,144.03,,39,965,33,34.42,
23.06.23 18:00:41,9.53,136.14,134.9,154.69,145.29,148.91,139.9,138.03,135.32,132.38,141.86,140.97,139.46,139.52,143.33,148.31,131.82,128.34,140.73,152.35,117.02,135.34,130.33,134.45,144.66,,39,965,33,34.44,
23.06.23 18:00:56,9.78,135.72,134.7,155.12,143.84,149.76,140.12,137.18,137.42,130.51,142.92,141.83,138.18,138.7,143.12,147.01,130.76,128.74,140.96,152.14,116.61,135.93,129.25,139.62,145.29,,39,965,33,34.48,
23.06.23 18:01:11,10.03,137.58,136.75,154.47,143.84,149.12,140.33,137.39,136.79,130.72,142.28,140.12,139.03,138.7,144.19,146.36,129.9,128.34,140.06,152.35,116.2,136.72,128.39,136.31,143.2,,39,965,33,34.49,
23.06.23 18:01:26,10.28,136.96,135.31,155.56,143.63,150.19,141.62,137.39,138.05,129.68,144.63,140.33,140.32,138.9,143.33,146.79,129.27,128.34,139.39,152.35,115.18,137.11,128.39,137.75,143.83,,39,965,33,34.5,
23.06.23 18:01:41,10.53,135.31,136.55,155.12,145.5,150.19,136.5,138.24,139.32,129.27,143.78,139.9,137.33,138.9,141.61,146.14,129.05,128.13,139.84,152.57,112.75,136.12,127.75,136.51,143.2,,39,965,33,34.53,
23.06.23 18:01:56,10.78,134.9,136.75,155.56,143.84,149.98,137.56,137.39,139.53,129.47,142.28,140.33,139.46,138.49,141.4,146.36,126.51,127.93,139.16,152.35,112.14,136.72,127.75,133.83,142.99,,39,965,33,34.53,
23.06.23 18:02:11,11.03,134.29,138.61,155.56,142.81,150.41,134.6,137.18,139.74,127.82,140.79,139.9,137.33,138.09,141.18,146.79,128.84,129.35,139.61,151.92,112.14,135.53,126.68,132.81,143.62,,39,965,33,34.58,
23.06.23 18:02:26,11.28,135.31,139.03,154.91,141.98,148.91,134.6,136.97,140.59,127.82,140.79,139.69,134.57,138.09,140.97,145.92,128.42,127.93,139.84,152.35,111.94,136.12,126.68,131.99,144.03,,39,965,33,34.6,
23.06.23 18:02:41,11.53,135.52,140.27,155.56,143.01,148.91,132.92,136.13,141.22,127.41,140.79,139.69,133.93,138.29,140.75,146.14,127.78,128.34,140.06,153,111.33,136.12,124.54,132.81,142.58,,39,965,33,34.61,
23.06.23 18:02:56,11.78,134.08,140.89,155.34,142.81,150.41,132.08,135.92,142.93,126.58,142.28,140.55,132.67,137.88,139.9,145.27,127.57,126.72,140.06,152.35,108.52,134.94,123.05,132.81,141.75,,39,965,33,34.63,
23.06.23 18:03:11,12.03,134.49,140.48,152.32,144.25,148.48,131.66,137.6,143.78,128.03,141.22,139.9,132.46,137.88,140.54,144.62,126.72,127.32,140.51,152.35,108.52,136.72,121.35,134.66,141.13,,39,965,33,34.64,
23.06.23 18:03:26,12.28,134.29,140.89,153.61,141.16,148.69,130.4,134.24,143.78,126.79,140.79,138.84,134.99,137.27,140.54,145.27,124.83,125.91,140.51,152.14,106.52,135.73,120.92,134.45,141.75,,39,965,33,34.67,
23.06.23 18:03:41,12.53,134.08,141.73,154.47,139.93,150.62,129.36,134.24,144.42,126.38,141.01,139.48,132.88,137.07,142.9,145.27,125.25,126.11,139.84,152.57,106.32,134.55,120.71,133.83,141.96,,39,965,33,34.7,
23.06.23 18:03:56,12.78,132.65,137.37,152.96,140.34,148.91,129.78,132.35,143.99,126.79,140.79,140.55,130.36,137.47,140.54,144.41,124.83,126.11,139.16,151.27,104.33,137.9,120.92,133.01,141.54,,39,965,33,34.71,
23.06.23 18:04:11,13.03,132.45,140.89,152.75,140.34,149.55,130.82,131.52,143.14,127.2,140.37,140.76,132.04,137.47,141.83,144.62,124.19,124.91,139.16,151.7,103.34,137.11,121.35,134.45,140.71,,39,965,33,34.74,
23.06.23 18:04:26,13.28,132.45,136.75,153.83,140.13,149.98,130.4,131.94,143.14,125.97,141.86,143.55,129.31,136.66,140.54,144.84,125.25,127.73,138.49,150.63,103.53,136.32,121.14,132.4,141.34,,39,965,33,34.77,
23.06.23 18:04:41,13.53,132.45,135.52,152.53,140.54,149.76,128.73,131.52,142.71,124.33,140.79,142.04,129.73,137.07,140.54,145.06,125.67,124.7,139.39,152.57,102.54,138.7,120.92,130.97,141.13,,39,965,33,34.78,
23.06.23 18:04:56,13.78,132.04,136.14,153.83,139.52,148.91,128.11,130.69,140.8,124.94,141.43,141.83,129.73,137.47,139.26,144.19,126.51,124.91,139.16,151.92,100.37,136.32,120.5,130.56,140.92,,39,965,33,34.8,
23.06.23 18:05:11,14.03,131.63,135.52,152.1,140.95,149.12,130.19,130.69,141.44,124.74,140.58,142.9,131.19,136.46,138.62,143.54,125.88,123.7,136.93,152.35,99.59,137.51,119.44,126.5,139.89,,39,965,33,34.81,
23.06.23 18:05:26,14.28,130.82,135.31,152.53,142.81,148.69,129.36,132.77,140.37,124.53,140.16,142.26,127.22,136.05,139.05,143.97,126.3,123.7,137.15,151.27,98.8,138.9,119.87,126.3,140.3,,39,965,33,34.84,
23.06.23 18:05:41,14.53,130.82,135.31,153.18,143.84,150.19,129.57,131.73,140.59,123.51,141.22,145.49,128.06,135.64,139.05,143.54,124.83,122.9,138.05,151.7,98.02,134.55,119.23,127.91,140.3,,39,965,33,34.86,
23.06.23 18:05:56,14.78,131.43,136.55,153.18,141.36,150.62,129.57,131.31,139.95,122.9,141.43,142.47,128.68,136.25,138.41,142.04,125.46,123.5,137.6,151.06,97.43,133.18,120.08,126.9,141.13,,39,965,33,34.86,
23.06.23 18:06:11,15.03,130.82,135.72,152.53,141.57,148.91,129.78,127.99,139.95,121.88,140.79,142.26,127.01,135.64,138.19,141.18,124.19,123.5,137.15,151.7,96.65,131.22,120.08,126.7,140.09,,39,965,33,34.89,
23.06.23 18:06:26,15.28,130.62,135.93,153.18,140.75,149.98,129.98,129.44,140.16,122.49,141.43,143.33,128.68,136.25,136.49,143.11,123.56,123.3,136.93,150.63,95.67,130.44,121.35,124.68,140.3,,39,965,33,34.92,
23.06.23 18:06:41,15.53,130.21,133.06,152.96,138.7,150.41,129.36,129.23,138.26,121.27,141.86,143.76,125.35,134.43,137.34,141.61,122.94,123.3,136.04,150.63,95.28,129.47,121.56,124.48,138.24,,39,965,33,34.94,
23.06.23 18:06:56,15.78,130.82,134.49,152.96,138.7,148.48,131.03,130.27,137.84,120.86,142.28,143.55,126.81,135.04,137.98,141.39,122.31,122.7,136.04,150.41,94.31,129.47,119.44,127.51,140.3,,39,965,33,34.96,
23.06.23 18:07:11,16.03,130.41,134.29,152.53,139.11,151.05,131.66,129.23,137.21,121.07,143.56,144.41,124.32,136.05,139.26,142.47,124.83,123.5,136.71,151.92,95.09,135.34,121.14,126.3,140.71,,39,965,33,34.99,
23.06.23 18:07:26,16.28,128.59,132.86,152.96,137.88,149.76,132.92,126.34,135.53,119.85,144.42,143.98,123.7,135.04,137.77,140.96,124.19,122.5,135.37,150.84,92.95,129.67,120.08,125.89,137.83,,39,965,33,34.99,
23.06.23 18:07:41,16.53,128.79,133.67,152.1,139.72,149.33,134.39,127.99,135.11,119.44,143.99,144.63,123.49,134.02,138.19,142.68,124.19,123.3,136.71,150.84,93.34,129.67,120.92,121.68,138.86,,39,965,33,35.03,
23.06.23 18:07:56,16.78,128.59,136.96,152.75,138.09,150.84,131.45,126.34,134.27,118.64,143.99,145.06,122.05,134.23,139.26,142.04,122.94,122.3,137.15,149.34,92.76,130.25,120.5,122.28,138.86,,39,965,33,35.05,
23.06.23 18:08:11,17.03,127.58,134.9,151.03,137.68,150.41,131.45,126.13,132.6,119.44,143.56,145.27,123.08,133.42,137.55,140.75,125.46,122.9,135.82,149.98,92.37,130.44,121.14,122.68,138.65,,39,965,33,35.08,
23.06.23 18:08:26,17.28,128.19,132.45,152.96,138.09,151.48,130.4,125.31,133.85,117.63,143.56,145.27,124.73,133.82,136.71,142.04,125.67,121.7,135.59,149.98,91.6,130.83,121.56,123.48,137.62,,39,965,33,35.09,
23.06.23 18:08:41,17.53,128.59,133.26,152.1,137.88,149.98,129.36,124.7,132.81,117.83,143.99,145.27,122.87,134.02,136.92,141.18,125.04,122.1,135.82,149.34,91.6,130.25,120.92,122.08,137.01,,39,965,33,35.1,
23.06.23 18:08:56,17.78,128.19,132.24,151.46,137.27,149.98,132.08,124.49,133.02,116.62,143.78,144.84,121.84,132.61,136.71,140.96,124.4,122.3,135.37,148.91,91.41,137.31,121.98,122.68,137.62,,39,965,33,35.13,
23.06.23 18:09:11,18.03,127.38,130.82,152.1,136.66,150.19,130.4,125.31,133.23,116.42,143.14,143.98,124.94,133.42,137.98,140.75,125.04,121.7,133.82,149.12,91.99,135.73,121.14,122.88,137.01,,39,965,33,35.16,
23.06.23 18:09:27,18.3,126.17,129.4,151.89,137.27,149.33,129.78,129.86,132.39,118.23,143.14,143.98,122.67,132.41,137.34,140.96,125.46,122.7,134.7,149.55,89.67,133.57,120.92,119.68,136.4,,39,965,33,35.17,
23.06.23 18:09:41,18.53,125.37,132.04,153.18,136.46,151.48,129.15,127.16,131.56,117.43,144.42,143.76,120.82,133.01,138.19,140.11,125.88,123.1,134.48,149.55,88.52,132.2,121.35,119.09,136.19,,39,965,33,35.2,
23.06.23 18:09:56,18.78,126.17,132.45,151.67,137.07,150.62,126.86,127.99,132.19,116.82,144.2,142.9,119.38,132.61,137.77,139.25,126.93,120.9,133.15,149.77,87.76,134.35,120.92,119.48,135.17,,39,965,33,35.21,
23.06.23 18:10:11,19.03,124.56,132.86,151.89,135.04,150.84,124.38,126.75,132.81,116.42,144.2,141.4,120.82,131.4,137.55,140.11,127.15,121.5,133.37,148.05,86.8,131.03,118.81,116.51,134.35,,39,965,33,35.23,
23.06.23 18:10:26,19.28,125.77,131.23,152.1,134.83,152.13,127.9,125.31,132.19,116.42,143.35,141.83,121.84,132.41,138.41,139.04,129.27,120.9,132.93,148.05,89.1,134.16,119.87,118.49,133.74,,39,965,33,35.25,
23.06.23 18:10:41,19.53,126.17,131.84,151.89,134.63,151.7,124.18,127.16,131.15,113.61,143.78,141.19,118.97,131.2,137.98,138.4,129.9,120.5,133.15,148.48,88.33,134.16,119.02,117.5,133.13,,39,965,33,35.28,
23.06.23 18:10:56,19.78,126.57,134.7,150.6,134.83,150.19,123.35,126.13,132.19,113.61,143.35,141.83,118.56,131,136.92,138.61,129.69,119.91,132.27,148.48,85.65,132.78,119.44,117.3,132.93,,39,965,33,35.3,
23.06.23 18:11:11,20.03,126.57,133.67,150.82,136.05,149.98,121.3,124.49,130.32,112.82,143.99,141.19,117.75,130.8,137.13,137.76,129.27,119.31,132.27,148.91,85.46,132.78,119.44,117.3,131.71,,39,965,33,35.31,
23.06.23 18:11:26,20.28,125.37,134.7,152.1,134.63,150.41,120.07,126.75,130.32,112.22,143.56,140.97,120,131,136.49,139.47,130.76,120.5,132.49,148.69,84.51,132.59,118.18,117.5,131.51,,39,965,33,35.33,
23.06.23 18:11:41,20.53,124.77,132.45,151.46,133.01,151.91,120.69,124.9,129.9,113.42,143.56,140.76,119.59,131.2,136.71,138.83,131.82,120.5,132.49,147.41,85.46,129.47,118.39,118.89,131.51,,39,965,33,35.36,
23.06.23 18:11:56,20.78,124.16,130.82,152.1,134.02,150.41,119.87,126.34,130.73,113.81,143.78,140.55,118.97,130.4,137.34,137.97,132.89,119.51,132.05,147.84,84.32,132.39,117.55,117.11,130.7,,39,965,33,35.39,
23.06.23 18:12:12,21.05,125.17,134.29,149.96,134.23,151.7,121.1,125.52,130.73,111.22,145.28,141.19,118.77,130.2,136.71,137.55,131.82,120.11,132.71,147.41,82.05,130.25,117.34,116.91,130.9,,39,965,33,35.39,
23.06.23 18:12:27,21.3,127.98,130.21,151.46,134.02,151.27,118.65,124.9,134.9,111.03,143.78,141.83,116.73,128.8,137.55,138.83,132.04,119.31,131.83,146.56,83.38,130.05,116.71,116.32,131.11,,39,965,33,35.42,
23.06.23 18:12:42,21.55,129.2,131.23,150.82,134.43,150.62,118.65,123.67,132.6,109.84,142.5,140.97,117.54,130,137.34,138.19,131.61,120.31,132.05,148.27,81.86,131.03,116.92,119.68,131.92,,39,965,33,35.45,
23.06.23 18:12:57,21.8,128.59,130.01,149.96,133.22,150.84,119.67,122.44,129.9,110.23,142.07,140.55,116.73,129.6,135.65,137.55,131.4,119.71,130.29,147.41,80.73,130.64,117.76,118.89,131.51,,39,965,33,35.46,
23.06.23 18:13:12,22.05,126.37,131.23,152.1,133.22,150.19,118.44,122.24,127.84,108.26,141.43,139.48,115.72,128.8,135.86,136.7,131.18,119.71,130.29,147.2,79.6,128.5,116.5,118.1,133.74,,39,965,33,35.49,
23.06.23 18:13:27,22.3,126.98,130.01,151.25,134.23,150.41,116.82,122.65,126.4,109.84,141.64,140.12,116.53,128.4,135.43,136.7,131.4,119.31,130.95,147.62,80.17,127.92,115.66,116.91,131.51,,39,965,33,35.5,
23.06.23 18:13:42,22.55,126.37,129.4,151.46,133.22,150.62,116.82,121.42,130.94,109.24,141.22,139.48,116.53,128.2,134.38,137.12,131.4,119.91,130.95,148.05,77.35,128.12,115.24,117.5,131.51,,39,965,33,35.53,
23.06.23 18:13:57,22.8,127.18,130.41,151.89,134.02,150.84,115.6,120.81,128.46,107.66,142.5,139.05,117.75,127.21,133.96,136.91,131.61,118.92,129.85,147.84,79.04,127.54,115.24,117.7,130.9,,39,965,33,35.53,
23.06.23 18:14:12,23.05,125.57,130.41,149.53,135.04,149.12,119.67,121.22,127.43,108.06,141.22,139.27,116.32,128.8,133.53,136.7,131.61,118.92,130.07,147.2,76.61,128.31,114.2,117.7,130.7,,39,965,33,35.56,
23.06.23 18:14:27,23.3,124.16,130.82,152.1,138.9,149.98,114.8,121.63,126.19,107.47,140.37,139.48,117.34,126.81,133.32,136.48,131.82,118.72,129.85,146.77,75.11,126.19,112.95,117.7,129.49,,39,965,33,35.59,
23.06.23 18:14:42,23.55,121.17,130.01,152.1,136.86,150.62,114.19,120.2,125.37,107.27,140.16,137.78,119.59,126.21,131.85,136.7,130.54,118.32,130.07,146.56,73.81,125.99,113.57,116.91,128.49,,39,965,33,35.6,
23.06.23 18:14:57,23.8,119.78,131.43,149.75,133.22,151.05,110.98,119.8,122.11,106.68,139.95,136.93,117.14,126.81,132.06,136.27,128.63,118.32,129.85,146.34,71.04,126.38,112.12,114.74,128.49,,39,965,33,35.6,
23.06.23 18:15:12,24.05,120.78,128.19,150.82,135.85,151.27,111.58,120,120.28,107.47,139.52,135.44,117.54,127.01,132.9,137.12,127.15,118.72,129.63,147.2,71.6,126.57,111.7,115.13,129.49,,39,965,33,35.63,
23.06.23 18:15:27,24.3,119.98,129.8,149.96,133.42,149.33,111.58,119.8,119.67,105.89,138.68,135.87,117.14,126.02,131.64,134.79,125.88,118.52,128.31,146.77,70.31,126.38,111.91,115.53,127.28,,39,965,33,35.66,
23.06.23 18:15:42,24.55,122.17,128.39,150.17,131,150.84,112.18,120.41,117.86,105.89,138.68,133.97,117.95,125.02,131.01,134.37,125.46,118.72,128.09,146.77,71.78,128.5,111.08,113.96,128.29,,39,965,33,35.67,
23.06.23 18:15:57,24.8,121.17,129.6,151.46,132.41,149.55,111.18,120,117.45,105.7,141.01,137.78,121.23,126.21,129.97,135.64,125.46,116.74,128.97,146.77,69.39,127.54,110.04,113.76,127.08,,39,965,33,35.7,
