Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
26.06.23 12:47:18,9.3,172.18,170.71,166.43,169.76,161.62,179.11,171.72,173.84,176.76,161.61,172.06,164.94,157.19,153.05,166.43,175.88,174.53,159.05,189.26,175.47,157.43,189.52,160.19,162.22,,36,965,33,32.36,
26.06.23 12:47:33,9.55,171.7,170,166.19,168.35,159.75,179.11,171.72,172.22,177.74,161.38,170.68,164.71,156.49,151.68,164.34,171.21,170.02,159.05,189.01,173.24,156.28,188.53,160.65,161.76,,36,965,33,32.39,
26.06.23 12:47:48,9.8,169.53,169.53,166.43,168.59,159.98,180.06,170.78,171.3,174.82,161.85,171.37,164.71,156.49,152.59,165.04,172.14,170.02,157.88,189.01,172.49,155.36,189.27,161.11,161.99,,36,965,33,32.4,
26.06.23 12:48:03,10.05,170.01,169.76,168.29,168.82,160.22,178.87,170.78,171.07,173.36,162.78,171.14,165.17,157.42,152.82,165.04,172.37,170.02,156.71,189.26,171.75,155.59,189.77,161.34,161.54,,36,965,33,32.43,
26.06.23 12:48:18,10.3,170.25,169.53,167.36,168.59,160.22,179.82,169.16,171.76,175.3,162.08,171.37,164.48,155.57,150.53,165.27,174,170.02,156.01,189.99,171.75,156.74,189.27,160.65,161.99,,36,965,33,32.46,
26.06.23 12:48:33,10.55,170.73,169.53,167.36,169.06,160.69,179.82,169.39,171.99,175.79,161.85,174.15,166.08,155.34,150.31,164.8,175.64,170.26,157.18,190.49,173.24,156.97,190.02,165.49,162.44,,36,965,33,32.49,
26.06.23 12:48:48,10.8,170.01,169.53,166.89,171.18,162.33,179.58,169.16,173.61,173.61,162.31,173.45,165.4,155.8,150.99,163.65,174,170.73,155.78,189.99,173.24,157.2,189.77,162.72,160.63,,36,965,33,32.51,
26.06.23 12:49:03,11.05,169.29,169.76,166.66,170.47,161.86,179.58,169.85,173.37,175.79,162.55,171.83,165.62,155.57,150.31,163.88,175.17,172.39,154.85,191.22,173.24,156.05,190.26,162.72,161.99,,36,965,33,32.54,
26.06.23 12:49:18,11.3,169.53,169.76,165.5,169.76,162.09,180.06,169.62,173.14,172.64,161.85,171.6,166.31,154.88,149.62,163.42,173.77,172.15,153.68,190.73,171.26,156.74,189.52,163.41,161.99,,36,965,33,32.55,
26.06.23 12:49:33,11.55,168.81,169.76,166.19,170.94,162.33,180.3,169.85,172.45,173.85,164.42,172.06,166.54,154.64,149.62,164.34,173.3,169.78,152.3,190.73,170.52,155.13,190.51,161.8,161.31,,36,965,33,32.58,
26.06.23 12:49:48,11.8,168.33,170.71,165.27,170,162.8,179.58,170.09,172.22,175.06,163.72,173.22,168.6,153.95,147.12,161.34,170.97,170.26,152.3,191.47,170.52,154.67,190.51,161.57,162.67,,36,965,33,32.61,
