"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"    [#0523] FA 30:7","","","","","",""
"    [#0524] FA 32:1","","","","","",""
"    [#0525] FA 32:7","","","","","",""
"    [#0526] FA 32:9","","","","","",""
"    [#0527] FA 34:7","","","","","",""
"    [#0528] FA 36:10","","","","","",""
"    [#0529] FA 36:8","","","","","",""
"    [#0530] FA 38:0","","","","","",""
"    [#0531] FA 40:8","","","","","",""
"LION:0000607","diacylglycerols [GL0201]","192","91","69.6","0.00033","0.011890"
"    [#0228] DG 10:0","","","","","",""
"    [#0229] DG 13:0","","","","","",""
"    [#0230] DG 14:0","","","","","",""
"    [#0231] DG 15:0","","","","","",""
"    [#0232] DG 15:1","","","","","",""
"    [#0233] DG 16:0","","","","","",""
"    [#0234] DG 16:1","","","","","",""
"    [#0235] DG 16:2","","","","","",""
"    [#0236] DG 17:0","","","","","",""
"    [#0237] DG 17:1","","","","","",""
"    [#0238] DG 18:0","","","","","",""
"    [#0239] DG 18:1","","","","","",""
"    [#0240] DG 19:0","","","","","",""
"    [#0241] DG 19:1","","","","","",""
"    [#0242] DG 19:2","","","","","",""
"    [#0243] DG 20:1","","","","","",""
"    [#0244] DG 20:2","","","","","",""
"    [#0245] DG 20:2|DG 10:1_10:1","","","","","",""
"    [#0246] DG 20:3","","","","","",""
"    [#0247] DG 20:4","","","","","",""
"    [#0248] DG 21:1","","","","","",""
"    [#0249] DG 21:2","","","","","",""
"    [#0250] DG 21:3","","","","","",""
"    [#0251] DG 21:4","","","","","",""
"    [#0252] DG 22:0","","","","","",""
"    [#0253] DG 22:1","","","","","",""
"    [#0254] DG 22:2","","","","","",""
"    [#0255] DG 22:3","","","","","",""
"    [#0256] DG 22:4","","","","","",""
"    [#0257] DG 23:1","","","","","",""
"    [#0258] DG 23:3","","","","","",""
"    [#0259] DG 23:4","","","","","",""
"    [#0260] DG 23:5","","","","","",""
"    [#0261] DG 24:1","","","","","",""
"    [#0262] DG 24:2","","","","","",""
"    [#0263] DG 24:3","","","","","",""
"    [#0264] DG 24:4","","","","","",""
"    [#0265] DG 24:5","","","","","",""
"    [#0266] DG 25:1","","","","","",""
"    [#0267] DG 25:4","","","","","",""
"    [#0268] DG 25:5","","","","","",""
"    [#0269] DG 26:0","","","","","",""
"    [#0270] DG 26:1","","","","","",""
"    [#0271] DG 26:2","","","","","",""
"    [#0272] DG 26:4","","","","","",""
"    [#0273] DG 26:5","","","","","",""
"    [#0274] DG 26:6","","","","","",""
"    [#0275] DG 27:1","","","","","",""
"    [#0276] DG 27:3","","","","","",""
"    [#0277] DG 27:4","","","","","",""
"    [#0278] DG 27:5","","","","","",""
"    [#0279] DG 27:6","","","","","",""
"    [#0280] DG 28:0","","","","","",""
"    [#0281] DG 28:2","","","","","",""
"    [#0282] DG 28:3","","","","","",""
"    [#0283] DG 28:4","","","","","",""
"    [#0284] DG 28:5","","","","","",""
"    [#0285] DG 28:6","","","","","",""
"    [#0286] DG 29:0","","","","","",""
"    [#0287] DG 29:3","","","","","",""
"    [#0288] DG 29:4","","","","","",""
"    [#0289] DG 29:5","","","","","",""
"    [#0290] DG 30:0","","","","","",""
"    [#0291] DG 30:1","","","","","",""
"    [#0292] DG 30:3","","","","","",""
"    [#0293] DG 30:4","","","","","",""
"    [#0294] DG 30:5","","","","","",""
"    [#0295] DG 30:6","","","","","",""
"    [#0296] DG 30:7","","","","","",""
"    [#0297] DG 30:8","","","","","",""
"    [#0298] DG 31:0","","","","","",""
"    [#0299] DG 31:1","","","","","",""
"    [#0300] DG 31:3","","","","","",""
"    [#0301] DG 31:4","","","","","",""
"    [#0302] DG 32:0","","","","","",""
"    [#0303] DG 32:1","","","","","",""
"    [#0304] DG 32:1|DG 16:0_16:1","","","","","",""
"    [#0305] DG 32:2","","","","","",""
"    [#0306] DG 32:3","","","","","",""
"    [#0307] DG 32:4","","","","","",""
"    [#0308] DG 32:5","","","","","",""
"    [#0309] DG 32:6","","","","","",""
"    [#0310] DG 32:7","","","","","",""
"    [#0311] DG 32:8","","","","","",""
"    [#0312] DG 32:8|DG 16:4_16:4","","","","","",""
"    [#0313] DG 33:0","","","","","",""
"    [#0314] DG 33:1","","","","","",""
"    [#0315] DG 33:2","","","","","",""
"    [#0316] DG 33:3","","","","","",""
"    [#0317] DG 33:4","","","","","",""
"    [#0318] DG 33:5","","","","","",""
"    [#0319] DG 33:6","","","","","",""
"    [#0320] DG 34:0","","","","","",""
"    [#0321] DG 34:1","","","","","",""
"    [#0322] DG 34:2|DG 16:0_18:2","","","","","",""
"    [#0323] DG 34:3","","","","","",""
"    [#0324] DG 34:5","","","","","",""
"    [#0325] DG 34:6","","","","","",""
"    [#0326] DG 34:6|DG 16:1_18:5","","","","","",""
"    [#0327] DG 34:7","","","","","",""
"    [#0328] DG 34:8","","","","","",""
"    [#0329] DG 35:0","","","","","",""
"    [#0330] DG 35:1","","","","","",""
"    [#0331] DG 35:2","","","","","",""
"    [#0332] DG 35:3","","","","","",""
"    [#0333] DG 35:4","","","","","",""
"    [#0334] DG 35:8","","","","","",""
"    [#0335] DG 36:0","","","","","",""
"    [#0336] DG 36:0|DG 18:0_18:0","","","","","",""
"    [#0337] DG 36:1","","","","","",""
"    [#0338] DG 36:2","","","","","",""
"    [#0339] DG 36:3","","","","","",""
"    [#0340] DG 36:4","","","","","",""
"    [#0341] DG 36:4|DG 16:0_20:4","","","","","",""
"    [#0342] DG 36:5","","","","","",""
"    [#0343] DG 36:5|DG 16:0_20:5","","","","","",""
"    [#0344] DG 36:6","","","","","",""
"    [#0345] DG 36:6|DG 18:3_18:3","","","","","",""
"    [#0346] DG 36:7","","","","","",""
"    [#0347] DG 36:8","","","","","",""
"    [#0348] DG 36:9","","","","","",""
"    [#0349] DG 36:9|DG 18:4_18:5","","","","","",""
"    [#0350] DG 37:1","","","","","",""
"    [#0351] DG 37:3","","","","","",""
"    [#0352] DG 37:4","","","","","",""
"    [#0353] DG 37:5","","","","","",""
"    [#0354] DG 37:8","","","","","",""
"    [#0355] DG 38:0","","","","","",""
"    [#0356] DG 38:10","","","","","",""
"    [#0357] DG 38:3","","","","","",""
"    [#0358] DG 38:4","","","","","",""
"    [#0359] DG 38:4|DG 16:0_22:4","","","","","",""
"    [#0360] DG 38:5|DG 16:0_22:5","","","","","",""
"    [#0361] DG 38:6","","","","","",""
"    [#0362] DG 38:7","","","","","",""
"    [#0363] DG 38:8","","","","","",""
"    [#0364] DG 38:9","","","","","",""
"    [#0365] DG 39:0","","","","","",""
"    [#0366] DG 39:1","","","","","",""
"    [#0367] DG 39:2","","","","","",""
"    [#0368] DG 39:3","","","","","",""
"    [#0369] DG 39:4","","","","","",""
"    [#0370] DG 39:5","","","","","",""
"    [#0371] DG 39:8","","","","","",""
"    [#0372] DG 39:9","","","","","",""
"    [#0373] DG 40:10","","","","","",""
"    [#0374] DG 40:11","","","","","",""
"    [#0375] DG 40:3","","","","","",""
"    [#0376] DG 40:4","","","","","",""
"    [#0377] DG 40:4|DG 18:0_22:4","","","","","",""
"    [#0378] DG 40:5","","","","","",""
"    [#0379] DG 40:7","","","","","",""
"    [#0380] DG 40:8","","","","","",""
"    [#0381] DG 41:10","","","","","",""
"    [#0382] DG 41:11","","","","","",""
"    [#0383] DG 41:7","","","","","",""
"    [#0384] DG 41:8","","","","","",""
"    [#0385] DG 42:0","","","","","",""
"    [#0386] DG 42:1","","","","","",""
"    [#0387] DG 42:10","","","","","",""
"    [#0388] DG 42:5","","","","","",""
"    [#0389] DG 42:7","","","","","",""
"    [#0390] DG 42:8","","","","","",""
"    [#0391] DG 43:11","","","","","",""
"    [#0392] DG 43:4","","","","","",""
"    [#0393] DG 44:6","","","","","",""
"    [#0394] DG 44:8","","","","","",""
"    [#0395] DG 44:9","","","","","",""
"    [#0396] DG 45:11","","","","","",""
"    [#0397] DG 45:5","","","","","",""
"    [#0398] DG 45:6","","","","","",""
"    [#0399] DG 45:7","","","","","",""
"    [#0400] DG 46:10","","","","","",""
"    [#0401] DG 46:12","","","","","",""
"    [#0402] DG 46:6","","","","","",""
"    [#0403] DG 46:8","","","","","",""
"    [#0404] DG 47:13","","","","","",""
"    [#0405] DG 47:6","","","","","",""
"    [#0406] DG 47:7","","","","","",""
"    [#0407] DG 48:11","","","","","",""
"    [#0408] DG 48:12","","","","","",""
"    [#0409] DG 49:1","","","","","",""
"    [#0410] DG 49:8","","","","","",""
"    [#0411] DG 50:11","","","","","",""
"    [#0412] DG 50:14","","","","","",""
"    [#0413] DG 50:3","","","","","",""
"    [#0414] DG 51:5","","","","","",""
"    [#0415] DG 51:8","","","","","",""
"    [#0416] DG 52:12","","","","","",""
"    [#0417] DG 52:4","","","","","",""
"    [#0418] DG 52:6","","","","","",""
"    [#0419] DG 52:7","","","","","",""
"LION:0002966","fatty acid with less than 2 double bonds","161","78","58.36","0.00041","0.011890"
"    [#0002] AHexCer 36:2;O2|AHexCer (O-12:0)24:2;O2","","","","","",""
"    [#0003] AHexCer 38:3;O2|AHexCer (O-14:0)24:3;O2","","","","","",""
"    [#0004] AHexCer 39:1;O3|AHexCer (O-15:0)24:1;O3","","","","","",""
"    [#0005] AHexCer 40:2;O2|AHexCer (O-16:2)24:0;O2","","","","","",""
"    [#0006] AHexCer 42:2;O3|AHexCer (O-17:0)25:2;O3","","","","","",""
"    [#0007] AHexCer 42:3;O2|AHexCer (O-18:0)24:3;O2","","","","","",""
"    [#0008] AHexCer 42:6;O2|AHexCer (O-15:1)27:5;O2","","","","","",""
"    [#0009] AHexCer 43:3;O2|AHexCer (O-15:0)28:3;O2","","","","","",""
"    [#0010] AHexCer 43:4;O3|AHexCer (O-18:3)25:1;O3","","","","","",""
"    [#0011] AHexCer 43:5;O2|AHexCer (O-14:0)29:5;O2","","","","","",""
"    [#0013] AHexCer 45:4;O2|AHexCer (O-14:1)31:3;O2","","","","","",""
"    [#0014] AHexCer 45:4;O3|AHexCer (O-16:0)29:4;O3","","","","","",""
"    [#0016] AHexCer 48:2;O2|AHexCer (O-24:0)24:2;O2","","","","","",""
"    [#0017] AHexCer 49:6;O2|AHexCer (O-17:0)32:6;O2","","","","","",""
"    [#0018] AHexCer 50:3;O3|AHexCer (O-14:0)36:3;O3","","","","","",""
"    [#0019] AHexCer 51:6;O3|AHexCer (O-18:0)33:6;O3","","","","","",""
"    [#0020] AHexCer 52:4;O3|AHexCer (O-16:0)36:4;O3","","","","","",""
"    [#0021] AHexCer 61:3;O2|AHexCer (O-24:0)37:3;O2","","","","","",""
"    [#0029] BA 24:1;O4;T","","","","","",""
"    [#0034] CAR 14:0","","","","","",""
"    [#0035] CAR 14:1","","","","","",""
"    [#0036] CAR 16:0","","","","","",""
"    [#0037] CAR 18:0","","","","","",""
"    [#0041] CAR 20:0","","","","","",""
"    [#0043] CAR 21:1","","","","","",""
"    [#0045] CAR 22:0","","","","","",""
"    [#0047] CAR 23:1","","","","","",""
"    [#0048] CAR 24:0","","","","","",""
"    [#0050] CAR 26:0","","","","","",""
"    [#0063] Cer 26:1;O2|Cer 12:0;O2/14:1","","","","","",""
"    [#0064] Cer 26:1;O2|Cer 18:1;O2/8:0","","","","","",""
"    [#0098] Cer 33:1;O4|Cer 18:0;O3/15:1(2OH)","","","","","",""
"    [#0107] Cer 34:0;O3|Cer 18:0;O2/16:0(2OH)","","","","","",""
"    [#0112] Cer 34:1;O3|Cer 18:0;O2/16:1(2OH)","","","","","",""
