"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Montipora_capitata_HIv3___RNAseq.g43337.t1","Montipora_capitata_HIv3___RNAseq.g20956.t1","Montipora_capitata_HIv3___RNAseq.g429.t1","Montipora_capitata_HIv3___RNAseq.g19833.t1","Montipora_capitata_HIv3___RNAseq.g20459.t1","Montipora_capitata_HIv3___RNAseq.g46830.t1","Montipora_capitata_HIv3___RNAseq.g17230.t1b","Montipora_capitata_HIv3___RNAseq.g3083.t1","Montipora_capitata_HIv3___TS.g42630.t1","Montipora_capitata_HIv3___TS.g25891.t1"
"Montipora_capitata_HIv3___RNAseq.g23342.t1","Montipora_capitata_HIv3___RNAseq.g8202.t1","Montipora_capitata_HIv3___RNAseq.g33844.t1","Montipora_capitata_HIv3___RNAseq.g43848.t1","Montipora_capitata_HIv3___RNAseq.g20460.t1b","Montipora_capitata_HIv3___RNAseq.g15023.t1","Montipora_capitata_HIv3___TS.g30260.t1","Montipora_capitata_HIv3___TS.g3433.t1a","Montipora_capitata_HIv3___RNAseq.g811.t1","Montipora_capitata_HIv3___RNAseq.g14427.t1"
"Montipora_capitata_HIv3___RNAseq.g49731.t1","Montipora_capitata_HIv3___RNAseq.g27563.t1","Montipora_capitata_HIv3___RNAseq.g38927.t1","Montipora_capitata_HIv3___RNAseq.g3219.t1","Montipora_capitata_HIv3___RNAseq.g26563.t2","Montipora_capitata_HIv3___RNAseq.g38357.t1","Montipora_capitata_HIv3___RNAseq.g17348.t1","Montipora_capitata_HIv3___RNAseq.g26775.t1","Montipora_capitata_HIv3___RNAseq.g4932.t1","Montipora_capitata_HIv3___RNAseq.g1901.t1"
"Montipora_capitata_HIv3___TS.g50787.t1","Montipora_capitata_HIv3___RNAseq.g28299.t3","Montipora_capitata_HIv3___RNAseq.g13236.t1","Montipora_capitata_HIv3___TS.g44259.t1","Montipora_capitata_HIv3___RNAseq.g33795.t1","Montipora_capitata_HIv3___TS.g48708.t1","Montipora_capitata_HIv3___RNAseq.g14691.t1","Montipora_capitata_HIv3___TS.g38864.t1","Montipora_capitata_HIv3___RNAseq.g46413.t1","Montipora_capitata_HIv3___RNAseq.g41999.t1"
"Montipora_capitata_HIv3___RNAseq.g19092.t1","Montipora_capitata_HIv3___RNAseq.g36364.t1","Montipora_capitata_HIv3___RNAseq.g26970.t1","Montipora_capitata_HIv3___RNAseq.g15917.t1","Montipora_capitata_HIv3___RNAseq.g10757.t1","Montipora_capitata_HIv3___TS.g43482.t1b","Montipora_capitata_HIv3___RNAseq.g27111.t1a","Montipora_capitata_HIv3___RNAseq.g43931.t1","Montipora_capitata_HIv3___TS.g31255.t1","Montipora_capitata_HIv3___TS.g24723.t1"
"Montipora_capitata_HIv3___TS.g4982.t1","Montipora_capitata_HIv3___RNAseq.g36650.t1","Montipora_capitata_HIv3___RNAseq.g30972.t1","Montipora_capitata_HIv3___RNAseq.g6140.t1","Montipora_capitata_HIv3___RNAseq.g25517.t1","Montipora_capitata_HIv3___RNAseq.g7034.t1","Montipora_capitata_HIv3___TS.g19407.t1","Montipora_capitata_HIv3___RNAseq.g21580.t1","Montipora_capitata_HIv3___TS.g5475.t1","Montipora_capitata_HIv3___RNAseq.g11982.t1"
"Montipora_capitata_HIv3___RNAseq.g40839.t1","Montipora_capitata_HIv3___RNAseq.g28722.t1","Montipora_capitata_HIv3___RNAseq.g46676.t1","Montipora_capitata_HIv3___RNAseq.g1539.t1","Montipora_capitata_HIv3___TS.g34333.t1","Montipora_capitata_HIv3___RNAseq.g41179.t1","Montipora_capitata_HIv3___RNAseq.g41969.t1","Montipora_capitata_HIv3___RNAseq.g37.t1","Montipora_capitata_HIv3___RNAseq.g25005.t1","Montipora_capitata_HIv3___RNAseq.g8411.t1"
"Montipora_capitata_HIv3___RNAseq.g9279.t2","Montipora_capitata_HIv3___RNAseq.g18560.t1","Montipora_capitata_HIv3___RNAseq.g6211.t1","Montipora_capitata_HIv3___RNAseq.g43928.t1","Montipora_capitata_HIv3___RNAseq.g25464.t1","Montipora_capitata_HIv3___RNAseq.g26184.t1","Montipora_capitata_HIv3___RNAseq.g3438.t1","Montipora_capitata_HIv3___RNAseq.g15227.t1","Montipora_capitata_HIv3___RNAseq.g50138.t1a","Montipora_capitata_HIv3___TS.g26525.t2"
"Montipora_capitata_HIv3___RNAseq.g16012.t1","Montipora_capitata_HIv3___RNAseq.g29756.t1","Montipora_capitata_HIv3___RNAseq.g16597.t1","Montipora_capitata_HIv3___TS.g44923.t1","Montipora_capitata_HIv3___RNAseq.g26963.t1","Montipora_capitata_HIv3___RNAseq.g20643.t1","Montipora_capitata_HIv3___RNAseq.g34566.t1","Montipora_capitata_HIv3___RNAseq.g49276.t1","Montipora_capitata_HIv3___RNAseq.g25412.t1","Montipora_capitata_HIv3___RNAseq.g10703.t1"
"Montipora_capitata_HIv3___TS.g47023.t1","Montipora_capitata_HIv3___RNAseq.g28845.t1","Montipora_capitata_HIv3___RNAseq.g44724.t1","Montipora_capitata_HIv3___RNAseq.g49495.t1","Montipora_capitata_HIv3___RNAseq.g38566.t1","Montipora_capitata_HIv3___RNAseq.g25298.t1","Montipora_capitata_HIv3___RNAseq.g8275.t1","Montipora_capitata_HIv3___RNAseq.g49510.t1","Montipora_capitata_HIv3___TS.g48252.t1","Montipora_capitata_HIv3___RNAseq.g33305.t1"
"Montipora_capitata_HIv3___RNAseq.38369_t","Montipora_capitata_HIv3___RNAseq.g20343.t1","Montipora_capitata_HIv3___RNAseq.g20093.t1","Montipora_capitata_HIv3___RNAseq.g6870.t2","Montipora_capitata_HIv3___RNAseq.g47615.t1","Montipora_capitata_HIv3___RNAseq.g3802.t1","Montipora_capitata_HIv3___RNAseq.g8630.t1","Montipora_capitata_HIv3___TS.g47178.t1","Montipora_capitata_HIv3___RNAseq.g36844.t1","Montipora_capitata_HIv3___RNAseq.g7214.t1"
"Montipora_capitata_HIv3___RNAseq.g35590.t1","Montipora_capitata_HIv3___RNAseq.g20347.t1","Montipora_capitata_HIv3___RNAseq.g9216.t1","Montipora_capitata_HIv3___RNAseq.g4993.t1","Montipora_capitata_HIv3___RNAseq.g40476.t1","Montipora_capitata_HIv3___RNAseq.g36888.t1","Montipora_capitata_HIv3___TS.g2318.t1","Montipora_capitata_HIv3___RNAseq.g10714.t1","Montipora_capitata_HIv3___TS.g37248.t1b","Montipora_capitata_HIv3___RNAseq.g25093.t1"
"Montipora_capitata_HIv3___RNAseq.g44457.t1","Montipora_capitata_HIv3___RNAseq.g10178.t1","Montipora_capitata_HIv3___RNAseq.g22843.t1","Montipora_capitata_HIv3___RNAseq.g24433.t1","Montipora_capitata_HIv3___TS.g9467.t1a","Montipora_capitata_HIv3___RNAseq.g2989.t1","Montipora_capitata_HIv3___TS.g21450.t1","Montipora_capitata_HIv3___RNAseq.g31616.t1","Montipora_capitata_HIv3___RNAseq.g46268.t1","Montipora_capitata_HIv3___TS.g27703.t1c"
"Montipora_capitata_HIv3___TS.g48616.t1","Montipora_capitata_HIv3___TS.g42994.t1","Montipora_capitata_HIv3___RNAseq.g20139.t1","Montipora_capitata_HIv3___RNAseq.g9050.t2","Montipora_capitata_HIv3___RNAseq.g27363.t1","Montipora_capitata_HIv3___RNAseq.g36978.t1","Montipora_capitata_HIv3___RNAseq.g35407.t1","Montipora_capitata_HIv3___RNAseq.g27439.t1","Montipora_capitata_HIv3___RNAseq.g29753.t1","Montipora_capitata_HIv3___RNAseq.g38697.t1"
"Montipora_capitata_HIv3___TS.g36479.t4","Montipora_capitata_HIv3___RNAseq.g47805.t1","Montipora_capitata_HIv3___RNAseq.g43063.t1","Montipora_capitata_HIv3___RNAseq.g35486.t1","Montipora_capitata_HIv3___RNAseq.g12164.t1","Montipora_capitata_HIv3___TS.g50024.t1","Montipora_capitata_HIv3___RNAseq.g36935.t1","Montipora_capitata_HIv3___TS.g42004.t1","Montipora_capitata_HIv3___RNAseq.g34423.t1","Montipora_capitata_HIv3___RNAseq.g12258.t1"
"Montipora_capitata_HIv3___TS.g7295.t1a","Montipora_capitata_HIv3___RNAseq.g47683.t1","Montipora_capitata_HIv3___TS.g14884.t2","Montipora_capitata_HIv3___RNAseq.g2931.t1","Montipora_capitata_HIv3___RNAseq.g11688.t1","Montipora_capitata_HIv3___TS.g25891.t1","Montipora_capitata_HIv3___TS.g44933.t1","Montipora_capitata_HIv3___TS.g1250.t1","Montipora_capitata_HIv3___RNAseq.g43616.t1","Montipora_capitata_HIv3___RNAseq.g2143.t1"
