sample,lipid,temperature,parent,type,formula,ontology,height_normalized
10,Cer 44:3;O2|Cer 25:0;O2/19:3,Moderate (+3),Bleached,Sample,C44H83NO3,Cer_NDS,0.0011546393431539617
10,Cer 45:3;O2|Cer 19:2;O2/26:1,Moderate (+3),Bleached,Sample,C45H85NO3,Cer_NS,5.09171894529241e-4
10,Cer 46:6;O2|Cer 30:2;O2/16:4,Moderate (+3),Bleached,Sample,C46H81NO3,Cer_NS,0.002092420983011263
10,Cer 46:8;O2|Cer 18:2;O2/28:6,Moderate (+3),Bleached,Sample,C46H77NO3,Cer_NS,7.350130177908697e-4
10,Cer 46:9;O2|Cer 24:3;O2/22:6,Moderate (+3),Bleached,Sample,C46H75NO3,Cer_NS,0.0013456784789600887
10,Cer 47:5;O2|Cer 19:0;O2/28:5,Moderate (+3),Bleached,Sample,C47H85NO3,Cer_NDS,0.0011697198782485393
10,Cer 47:9;O2|Cer 23:3;O2/24:6,Moderate (+3),Bleached,Sample,C47H77NO3,Cer_NS,0.04763941688649382
10,Cer 48:8;O2|Cer 24:2;O2/24:6,Moderate (+3),Bleached,Sample,C48H81NO3,Cer_NS,0.00232215617177958
10,Cer 48:9;O2|Cer 22:3;O2/26:6,Moderate (+3),Bleached,Sample,C48H79NO3,Cer_NS,7.266313190034421e-4
10,Cer 50:3;O3|Cer 18:2;O2/32:1;O,Moderate (+3),Bleached,Sample,C50H95NO4,Cer_HS,0.0022935719698253354
10,Cer 50:7;O4|Cer 30:2;O3(FA 20:4),Moderate (+3),Bleached,Sample,C50H87NO5,Cer_EOS,0.003482812702470429
10,Cer 52:3;O2|Cer 19:2;O2/33:1,Moderate (+3),Bleached,Sample,C52H99NO3,Cer_NS,8.898624568675457e-5
10,Cer 53:3;O2|Cer 19:2;O2/34:1,Moderate (+3),Bleached,Sample,C53H101NO3,Cer_NS,3.046812736457813e-4
10,Cer 54:5;O2|Cer 18:2;O2/36:3,Moderate (+3),Bleached,Sample,C54H99NO3,Cer_NS,0.0010522684702984901
10,Cer 55:12;O4|Cer 33:7;O3(FA 22:4),Moderate (+3),Bleached,Sample,C55H87NO5,Cer_EOS,0.002529894611054101
10,Cer 56:2;O2|Cer 28:0;O2/28:2,Moderate (+3),Bleached,Sample,C56H109NO3,Cer_NDS,0.0011624356275708274
10,Cer 56:5;O2|Cer 18:2;O2/38:3,Moderate (+3),Bleached,Sample,C56H103NO3,Cer_NS,0.00178016193616214
10,Cer 57:8;O2|Cer 25:2;O2/32:6,Moderate (+3),Bleached,Sample,C57H99NO3,Cer_NS,0.0014928001222092124
10,Cer 58:5;O2|Cer 30:0;O2/28:5,Moderate (+3),Bleached,Sample,C58H107NO3,Cer_NDS,0.0011184251862140413
10,Cer 58:6;O2|Cer 20:3;O2/38:3,Moderate (+3),Bleached,Sample,C58H105NO3,Cer_NS,1.270365490925587e-4
10,DG 15:0,Moderate (+3),Bleached,Sample,C18H34O5,DG,8.293723563773467e-4
10,DG 17:0,Moderate (+3),Bleached,Sample,C20H38O5,DG,0.012897534690837813
10,DG 18:0,Moderate (+3),Bleached,Sample,C21H40O5,DG,0.0016777731258189913
10,DG 19:2,Moderate (+3),Bleached,Sample,C22H38O5,DG,7.679902735453728e-4
10,DG 20:1,Moderate (+3),Bleached,Sample,C23H42O5,DG,0.0015567521578211446
10,DG 20:3,Moderate (+3),Bleached,Sample,C23H38O5,DG,0.1013798690589947
10,DG 20:4,Moderate (+3),Bleached,Sample,C23H36O5,DG,0.07299279683296318
10,DG 21:1,Moderate (+3),Bleached,Sample,C24H44O5,DG,2.3044453487192196e-4
10,DG 22:0,Moderate (+3),Bleached,Sample,C25H48O5,DG,0.0011464484340081935
10,DG 22:2,Moderate (+3),Bleached,Sample,C25H44O5,DG,0.0018763867734670641
10,DG 22:4,Moderate (+3),Bleached,Sample,C25H40O5,DG,0.15328714260448192
10,DG 23:1,Moderate (+3),Bleached,Sample,C26H48O5,DG,0.0017046940334613338
10,DG 23:3,Moderate (+3),Bleached,Sample,C26H44O5,DG,7.354565629407101e-4
10,DG 23:5,Moderate (+3),Bleached,Sample,C26H40O5,DG,0.015325962323702345
10,DG 24:1,Moderate (+3),Bleached,Sample,C27H50O5,DG,0.11069497763132832
10,DG 24:4,Moderate (+3),Bleached,Sample,C27H44O5,DG,0.19219721588555375
10,DG 24:5,Moderate (+3),Bleached,Sample,C27H42O5,DG,0.16668358405485545
10,DG 25:4,Moderate (+3),Bleached,Sample,C28H46O5,DG,0.0017119848068618375
10,DG 26:1,Moderate (+3),Bleached,Sample,C29H54O5,DG,0.0037079477652283703
10,DG 26:2,Moderate (+3),Bleached,Sample,C29H52O5,DG,0.003537637842454496
10,DG 27:4,Moderate (+3),Bleached,Sample,C30H50O5,DG,0.0012167405561737284
10,DG 27:6,Moderate (+3),Bleached,Sample,C30H46O5,DG,0.0032858509586078948
10,DG 28:0,Moderate (+3),Bleached,Sample,C31H60O5,DG,0.01385285756296289
10,DG 28:2,Moderate (+3),Bleached,Sample,C31H56O5,DG,0.00127079109858775
10,DG 28:3,Moderate (+3),Bleached,Sample,C31H54O5,DG,0.0011402469553139158
10,DG 28:5,Moderate (+3),Bleached,Sample,C31H50O5,DG,0.001221560848316848
10,DG 28:6,Moderate (+3),Bleached,Sample,C31H48O5,DG,0.08312301419760923
10,DG 29:0,Moderate (+3),Bleached,Sample,C32H62O5,DG,0.0014299406426649022
10,DG 29:3,Moderate (+3),Bleached,Sample,C32H56O5,DG,7.044214478974572e-5
10,DG 29:4,Moderate (+3),Bleached,Sample,C32H54O5,DG,0.007785256123305736
10,DG 30:0,Moderate (+3),Bleached,Sample,C33H64O5,DG,0.0026800563406834317
10,DG 30:1,Moderate (+3),Bleached,Sample,C33H62O5,DG,7.026831422734498e-4
10,DG 30:3,Moderate (+3),Bleached,Sample,C33H58O5,DG,0.002140278200134497
10,DG 30:4,Moderate (+3),Bleached,Sample,C33H56O5,DG,2.1409369951364658e-4
