"","Ontology","term","df","sumsq","statistic","p.value","adj_pvalues"
"37","Cer_ADS","temperature",2,2.30725803436677e-05,0.0149373630834964,0.985178877173938,0.990539351411462
"38","Cer_ADS","parent",2,0.0276896801409891,17.9265084256321,2.35207260639838e-06,0.000127011920745513
"39","Cer_ADS","temperature:parent",4,0.00168514835040711,0.545488896011025,0.703240105347215,0.93578548681654
"40","Cer_AP","temperature",2,1.9432032673348e-06,0.0296791522622553,0.970777289172947,0.989093841798852
"41","Cer_AP","parent",2,5.49282313312437e-05,0.838936084855546,0.439282767491061,0.862068629926292
"42","Cer_AP","temperature:parent",4,0.00018863211432506,1.44051868806374,0.237513933965627,0.847020260234954
"43","Cer_AS","temperature",2,0.000415981581000267,0.314527797085317,0.731838342734613,0.93578548681654
"44","Cer_AS","parent",2,0.00658066004675598,4.97570229647306,0.0114998433869683,0.143359044052007
"45","Cer_AS","temperature:parent",4,0.00309015109998001,1.16824693992504,0.338514737844311,0.853431664615557
"46","Cer_EOS","temperature",2,0.000728679494200088,1.05661897052941,0.356687124627993,0.862068629926292
"47","Cer_EOS","parent",2,0.000146331689312607,0.212187717848499,0.809674557034499,0.936269225666861
"48","Cer_EOS","temperature:parent",4,0.00174124064724561,1.26243973844516,0.29986956153848,0.853431664615557
"49","Cer_HDS","temperature",2,0.000235743307514717,2.54689836802111,0.0903643842371113,0.51762709240312
"50","Cer_HDS","parent",2,0.000149824788215958,1.61866104543608,0.210281200456936,0.847020260234954
"51","Cer_HDS","temperature:parent",4,0.000443879181511973,2.39776724715889,0.0652712710445917,0.42723158362498
"52","Cer_HS","temperature",2,0.000624453093668514,0.55009104795594,0.580997003638759,0.93578548681654
"53","Cer_HS","parent",2,0.00124390004391459,1.09577210145531,0.343646851870635,0.853431664615557
"54","Cer_HS","temperature:parent",4,0.00254184787174067,1.11957789439078,0.360142616962264,0.862068629926292
"55","Cer_NDS","temperature",2,0.0109423369563057,0.272210184119673,0.7630276299619,0.93578548681654
"56","Cer_NDS","parent",2,0.0710989464196495,1.76871333545021,0.183019310706569,0.841110023672742
"57","Cer_NDS","temperature:parent",4,0.0852905085357329,1.06087690065116,0.387792544036241,0.862068629926292
"58","Cer_NP","temperature",2,8.27694020547478e-05,1.65396717592841,0.203505234393585,0.847020260234954
"59","Cer_NP","parent",2,2.29132464666464e-05,0.457871587917516,0.635749032385735,0.93578548681654
"60","Cer_NP","temperature:parent",4,0.000100279954362108,1.00193881314267,0.41731604494814,0.862068629926292
"61","Cer_NS","temperature",2,0.130323617382796,0.415442791576772,0.662730507042579,0.93578548681654
"62","Cer_NS","parent",2,1.12156564344366,3.5753025522628,0.03682382105376,0.274273977503867
"63","Cer_NS","temperature:parent",4,0.222382764755865,0.354453469156592,0.839466160787439,0.949777771291038
"64","DCAE","temperature",2,0.000357747920756285,1.50348848351927,0.234076810661068,0.847020260234954
"65","DCAE","parent",2,0.00115687353178537,4.86193191074474,0.0126102862823525,0.143359044052007
"66","DCAE","temperature:parent",4,0.000188939534409955,0.397023151757716,0.809623626873968,0.936269225666861
"67","DEGSE","temperature",2,1.56402843973822e-05,0.801896836499787,0.455224160078337,0.870162996255936
"68","DEGSE","parent",2,3.85536316466428e-05,1.97669265260902,0.151205425793494,0.742281181168063
"69","DEGSE","temperature:parent",4,6.81245387593495e-05,1.74641492223354,0.157860840637355,0.757732035059303
"70","DG","temperature",2,1.84628792602544,1.60738623666493,0.212494529261693,0.847020260234954
"71","DG","parent",2,0.268146284535141,0.233449312590415,0.792818259664013,0.93578548681654
"72","DG","temperature:parent",4,0.457922261075592,0.199334548403813,0.937315381320804,0.968708719451166
"73","DGDG","temperature",2,0.00170797699541989,0.259150205498874,0.77293198678365,0.93578548681654
"74","DGDG","parent",2,0.0459064059502327,6.96534822636347,0.00244107052395782,0.0388288457028272
"75","DGDG","temperature:parent",4,0.00451758493114336,0.342725067844548,0.84754904472756,0.949777771291038
"76","DMPE","temperature",2,0.000129294317589339,0.297580301326409,0.744165679897502,0.93578548681654
"77","DMPE","parent",2,3.91134925064213e-05,0.0900225555384251,0.914086428400973,0.960837880847464
"78","DMPE","temperature:parent",4,0.00104792690327731,1.20594009643864,0.322551043317994,0.853431664615557
"79","EtherDG","temperature",2,0.0232383257894509,0.485637191021559,0.618717205645196,0.93578548681654
"80","EtherDG","parent",2,0.0555571407594746,1.16103948382842,0.323007429466189,0.853431664615557
"81","EtherDG","temperature:parent",4,0.0978015674647295,1.02193417312872,0.407099866972395,0.862068629926292
"82","EtherDGDG","temperature",2,1.33603312479633e-05,0.670397540414068,0.516893108145811,0.934796892937393
"83","EtherDGDG","parent",2,2.56830813604694e-06,0.128873111412846,0.87943177825115,0.960837880847464
"84","EtherDGDG","temperature:parent",4,3.94611154647175e-05,0.990044118613262,0.423491352924152,0.862068629926292
"85","EtherLPE","temperature",2,6.12999693170851e-05,0.653978129750366,0.525186579111763,0.934796892937393
"86","EtherLPE","parent",2,0.00123777851273405,13.2052280909933,3.55355370257483e-05,0.0010965251425088
"87","EtherLPE","temperature:parent",4,4.65357489794443e-05,0.248233093940777,0.909124128795873,0.960837880847464
"88","EtherMGDG","temperature",2,5.32105028130294e-05,1.45700030405243,0.244466045319918,0.851688157888746
"89","EtherMGDG","parent",2,0.000802387780413678,21.9708361738018,2.95090541779517e-07,2.12465190081252e-05
"90","EtherMGDG","temperature:parent",4,1.84134206121464e-05,0.252096466038029,0.906767675462964,0.960837880847464
"91","EtherOxPC","temperature",2,0.000287458814464728,0.0379567684373782,0.962787547346733,0.98560241813694
"92","EtherOxPC","parent",2,0.011575942079506,1.52851584591165,0.228676202345478,0.847020260234954
"93","EtherOxPC","temperature:parent",4,0.0219994557786657,1.45243110790331,0.233803570779256,0.847020260234954
"94","EtherPC","temperature",2,0.766529497270922,1.11346350405347,0.337919334818378,0.853431664615557
"95","EtherPC","parent",2,0.845367163537663,1.2279833815602,0.30318231000403,0.853431664615557
"96","EtherPC","temperature:parent",4,1.05347066631762,0.765137639002677,0.553936491125092,0.93578548681654
"97","EtherPE","temperature",2,2.92869656156158,0.375128573576831,0.689480104861911,0.93578548681654
"98","EtherPE","parent",2,2.74015108676198,0.350978309618374,0.706044091644286,0.93578548681654
"99","EtherPE","temperature:parent",4,16.0570588300737,1.02835193884906,0.403864524082888,0.862068629926292
"100","EtherPI","temperature",2,7.34923343910236e-05,0.460166016466582,0.634323154937252,0.93578548681654
"101","EtherPI","parent",2,0.000165376561696941,1.03549130999323,0.363938238727897,0.862068629926292
"102","EtherPI","temperature:parent",4,0.000403968076971598,1.26470592001219,0.298990317014579,0.853431664615557
"103","EtherTG","temperature",2,0.00175581328541173,0.0774681262919035,0.925588443698311,0.961187999225169
"104","EtherTG","parent",2,0.00506751335735532,0.223583434534415,0.800593790660564,0.936269225666861
"105","EtherTG","temperature:parent",4,0.0553926311604935,1.22198737816694,0.31595871257365,0.853431664615557
"106","FA","temperature",2,13.4088221213937,0.287641036141901,0.751496366739031,0.93578548681654
"107","FA","parent",2,20.0336413501225,0.42975418000739,0.653497926990019,0.93578548681654
"108","FA","temperature:parent",4,79.3128906450691,0.850695230275225,0.501292692537954,0.933441565415501
"109","FAHFA","temperature",2,9.74167243214835e-06,0.171659092760456,0.842854190230758,0.949777771291038
"110","FAHFA","parent",2,9.58605983746578e-05,1.68917025932468,0.196976444474648,0.847020260234954
"111","FAHFA","temperature:parent",4,5.34379069665512e-05,0.470817649268506,0.756815078497411,0.93578548681654
"112","HBMP","temperature",2,0.0141989251765296,0.21107573032066,0.810566412961588,0.936269225666861
"113","HBMP","parent",2,0.265666890789871,3.94930125332183,0.0268150778784681,0.245638730206066
"114","HBMP","temperature:parent",4,0.154352259999233,1.14727050114457,0.347694381880412,0.853431664615557
"115","HexCer_AP","temperature",2,2.37209195321969e-05,0.164758422304542,0.848644027125788,0.949777771291038
"116","HexCer_AP","parent",2,6.90526577496097e-05,0.479619136657791,0.622367755278763,0.93578548681654
"117","HexCer_AP","temperature:parent",4,0.000393480556507792,1.36649921200869,0.261822905691348,0.853431664615557
"118","HexCer_HS","temperature",2,0.000226045316154354,0.303501346867592,0.73983426561108,0.93578548681654
"119","HexCer_HS","parent",2,0.000272029580992091,0.365242446176366,0.696210959604703,0.93578548681654
"120","HexCer_HS","temperature:parent",4,0.00182566922422424,1.22562386585442,0.314481530594574,0.853431664615557
"121","HexCer_NDS","temperature",2,2.41082517729466e-05,0.443402631608535,0.644818494858985,0.93578548681654
"122","HexCer_NDS","parent",2,0.000376505905277586,6.92475384729363,0.00251668444370176,0.0388288457028272
"123","HexCer_NDS","temperature:parent",4,0.00010964712182597,1.00832326673504,0.41403163228095,0.862068629926292
"124","KDCAE","temperature",2,0.000235042115110545,0.104103881873882,0.901363472182287,0.960837880847464
"125","KDCAE","parent",2,0.000952460866479848,0.421860029156389,0.658573825776626,0.93578548681654
"126","KDCAE","temperature:parent",4,0.00294437283772302,0.65205472207996,0.628651890427535,0.93578548681654
"127","KLCAE","temperature",2,3.49979680083657e-06,0.423978648082188,0.657207522643795,0.93578548681654
"128","KLCAE","parent",2,4.71012669366757e-06,0.570602598242177,0.569504757527055,0.93578548681654
"129","KLCAE","temperature:parent",4,2.01760304657035e-05,1.22210039715296,0.315912710376429,0.853431664615557
"130","LCAE","temperature",2,0.000230938401811337,1.57066742231709,0.219873433257613,0.847020260234954
"131","LCAE","parent",2,0.00187700108989539,12.7659342942921,4.66177166368601e-05,0.00125867834919522
"132","LCAE","temperature:parent",4,0.000337861537608401,1.14893864817034,0.34695654211523,0.853431664615557
"133","LPC","temperature",2,0.000129690001063903,0.0436196065175106,0.957361354889256,0.98471453645752
"134","LPC","parent",2,0.0273479292531635,9.1981332662949,0.000486433128610205,0.00955177779816402
"135","LPC","temperature:parent",4,0.00170978668261472,0.287532661395327,0.884427383126025,0.960837880847464
"136","MG","temperature",2,8.70000507844277e-05,1.25963213244554,0.294257506404009,0.853431664615557
"137","MG","parent",2,0.000175311538681882,2.53825193572983,0.0910640255153636,0.51762709240312
"138","MG","temperature:parent",4,0.000132848609451884,0.961725744453549,0.438488309954323,0.862068629926292
"139","MGDG","temperature",2,0.00359667751599928,0.330283540035358,0.720569691644339,0.93578548681654
"140","MGDG","parent",2,0.0142114931485036,1.30504395943096,0.281929444700456,0.853431664615557
"141","MGDG","temperature:parent",4,0.0228290588789587,1.04819828142463,0.39399327972686,0.862068629926292
"142","NAE","temperature",2,0.000902285806994908,0.339375017057135,0.714150227038929,0.93578548681654
"143","NAE","parent",2,0.0100496988608905,3.77997381305704,0.0309376615857612,0.24750129268609
"144","NAE","temperature:parent",4,0.003615540161602,0.679953067255418,0.609728503310082,0.93578548681654
"145","NAGly","temperature",2,0.00010785044177653,1.19688931956292,0.312227205785292,0.853431664615557
"146","NAGly","parent",2,8.53994184783752e-05,0.947735124585228,0.395750318761483,0.862068629926292
"147","NAGly","temperature:parent",4,0.000123282116230048,0.684072525704618,0.606959714977001,0.93578548681654
"148","NAGlySer","temperature",2,9.84958447881755e-05,0.587929747880799,0.559982263013968,0.93578548681654
"149","NAGlySer","parent",2,0.000488263527092657,2.9144849003563,0.0652714919427052,0.42723158362498
"150","NAGlySer","temperature:parent",4,0.000633669907137127,1.89121373365542,0.129826757208481,0.652153012954228
"151","NAOrn","temperature",2,1.01116555499517e-05,0.441598453468139,0.645958861517912,0.93578548681654
"152","NAOrn","parent",2,0.000111541126046129,4.8712486809641,0.0125152632244462,0.143359044052007
"153","NAOrn","temperature:parent",4,3.66318992320442e-05,0.799898195135254,0.53211721123985,0.934796892937393
"154","Others","temperature",2,0.228724043758869,0.0184859893304208,0.981691811333716,0.990539351411462
"155","Others","parent",2,3.85027907531555,0.311188175653552,0.734250495137603,0.93578548681654
"156","Others","temperature:parent",4,14.3259809944465,0.578928929943073,0.679506670467544,0.93578548681654
"157","OxFA","temperature",2,0.0040043395870659,0.613700308951523,0.546126885768288,0.93578548681654
"158","OxFA","parent",2,0.096074305553343,14.7242334768096,1.42686829944126e-05,0.000531363480217854
"159","OxFA","temperature:parent",4,0.0109356620663202,0.837993262405556,0.50887986908136,0.934796892937393
"160","OxPC","temperature",2,1.28332852469337e-05,1.0221868595314,0.368583491308797,0.862068629926292
"161","OxPC","parent",2,8.18281558575282e-06,0.651771265485104,0.526311851914576,0.934796892937393
"162","OxPC","temperature:parent",4,1.53839677579728e-05,0.612675919964137,0.655833680883454,0.93578548681654
"163","OxPE","temperature",2,6.97785392861871e-05,0.494356747265995,0.613467673714698,0.93578548681654
"164","OxPE","parent",2,9.5986830756879e-05,0.680033401655565,0.512090009399224,0.934796892937393
"165","OxPE","temperature:parent",4,0.00014152414306728,0.501324732088492,0.734873172740707,0.93578548681654
"166","OxPI","temperature",2,0.0487530773852998,0.236163519935415,0.790693034647445,0.93578548681654
"167","OxPI","parent",2,0.255125349991777,1.23584610264992,0.300938906480465,0.853431664615557
"168","OxPI","temperature:parent",4,0.279863738111632,0.6778403440298,0.611151119466682,0.93578548681654
"169","OxTG","temperature",2,0.000814043319984527,0.70759931134635,0.498605955188996,0.933441565415501
"170","OxTG","parent",2,0.00462124626691909,4.01697378475631,0.0253323189101012,0.245638730206066
"171","OxTG","temperature:parent",4,0.00247393170723756,1.07522064820363,0.380875987736267,0.862068629926292
"172","PA","temperature",2,0.0941801173169302,1.16588249948716,0.321528613806175,0.853431664615557
"173","PA","parent",2,0.00640570632711313,0.0792980632897648,0.923902510994933,0.961187999225169
"174","PA","temperature:parent",4,0.0705922493259868,0.436940781309728,0.781154002064203,0.93578548681654
"175","PC","temperature",2,0.0124655629626404,0.838729711259674,0.439369950380925,0.862068629926292
"176","PC","parent",2,0.0576647827612156,3.87990231489086,0.0284304085886651,0.245638730206066
"177","PC","temperature:parent",4,0.015319975503724,0.515392632857958,0.724771703978859,0.93578548681654
"178","PE","temperature",2,0.000312404726791745,0.493903199648136,0.613739574350527,0.93578548681654
"179","PE","parent",2,9.74685564221125e-05,0.154095081647268,0.857672916756466,0.954934793914416
"180","PE","temperature:parent",4,0.000873409025459288,0.690417710234373,0.602708241311281,0.93578548681654
"181","PEtOH","temperature",2,6.48913435711345e-07,0.138291751958635,0.871239478431312,0.960837880847464
"182","PEtOH","parent",2,5.9814893178978e-06,1.27473186957082,0.290096844880839,0.853431664615557
"183","PEtOH","temperature:parent",4,1.2062419388466e-05,1.28532791763061,0.291095254396926,0.853431664615557
"184","PG","temperature",2,4.25745593331667e-06,0.0875337484674287,0.916354645623044,0.960837880847464
"185","PG","parent",2,0.000189972257665292,3.90584989691456,0.0278148355086039,0.245638730206066
"186","PG","temperature:parent",4,5.21153817809418e-05,0.535748906336087,0.710193756186612,0.93578548681654
"187","PI","temperature",2,1.6464611873578e-05,0.289061658248889,0.750443972530831,0.93578548681654
"188","PI","parent",2,1.45702637351242e-05,0.255803454629713,0.775491694511154,0.93578548681654
"189","PI","temperature:parent",4,0.000141383778173397,1.24110515577595,0.308261385610419,0.853431664615557
"190","PS","temperature",2,1.72965866461121e-06,0.269052812057068,0.765409850723742,0.93578548681654
"191","PS","parent",2,2.44244425349224e-05,3.79928426423039,0.0304356868637158,0.24750129268609
"192","PS","temperature:parent",4,1.21630355398553e-05,0.945995583436028,0.44699854885067,0.862068629926292
"193","SHexCer","temperature",2,0.000262551451126774,1.48027819149603,0.239204795714501,0.847020260234954
"194","SHexCer","parent",2,5.18941279674715e-05,0.292581684722285,0.747842990380796,0.93578548681654
"195","SHexCer","temperature:parent",4,0.000224974463738182,0.634208630129307,0.640906003175245,0.93578548681654
"196","SISE","temperature",2,4.07135787342054e-06,0.27997927340306,0.757198903412439,0.93578548681654
"197","SISE","parent",2,0.000130649260585311,8.98449268931268,0.000564643556866912,0.0101635840236044
"198","SISE","temperature:parent",4,2.91118493396216e-05,1.00098231093092,0.417809921279234,0.862068629926292
"199","SL","temperature",2,0.000993443076389665,0.843447595869509,0.437381393448858,0.862068629926292
"200","SL","parent",2,0.0516161869574953,43.8228921534849,5.2518064402485e-11,1.13439019109368e-08
"201","SL","temperature:parent",4,0.00101722238322633,0.431818286315365,0.784824292480314,0.93578548681654
"202","SM","temperature",2,8.93470036193094e-06,0.0141508299746939,0.985953521080854,0.990539351411462
"203","SM","parent",2,0.00107201165587203,1.69785824466716,0.195399173531426,0.847020260234954
"204","SM","temperature:parent",4,0.00149559770735961,1.18436813827374,0.331604202890483,0.853431664615557
"205","ST","temperature",2,0.00108852194699667,2.61925550399219,0.0847256483415742,0.51762709240312
"206","ST","parent",2,0.00609524398229527,14.6666784191637,1.47600966727182e-05,0.000531363480217854
"207","ST","temperature:parent",4,0.000643149685164865,0.77378933764579,0.548452069692679,0.93578548681654
"208","TG","temperature",2,0.498249787088861,0.110940855253476,0.895253072004595,0.960837880847464
"209","TG","parent",2,10.6434178348901,2.36987532763806,0.10588169447768,0.586421692491765
"210","TG","temperature:parent",4,8.53118164405831,0.94978122664585,0.444938724283893,0.862068629926292
"211","TG_EST","temperature",2,0.000885443736340128,0.843737598561708,0.437259467253971,0.862068629926292
"212","TG_EST","parent",2,0.000951294577392814,0.906486735760098,0.411697090347546,0.862068629926292
"213","TG_EST","temperature:parent",4,0.0020075758879226,0.956507561738251,0.4412971806437,0.862068629926292
"214","VAE","temperature",2,0.14829265671843,0.42146714825928,0.658827522650284,0.93578548681654
"215","VAE","parent",2,0.107691773406473,0.306074121490669,0.737960446315259,0.93578548681654
"216","VAE","temperature:parent",4,0.601144215408986,0.854265287869439,0.499174871163203,0.933441565415501
