Lipid,VIP
TG 65:6;O2|TG 9:0_16:0_18:2;O(FA 22:3),1.0105685266773357
DG 38:4,1.0105627852577626
SM 41:4;O2,1.0098874211292548
SM 36:0;O3,1.0098837608130349
DGDG 36:0|DGDG 14:0_22:0,1.0079392265450358
DG 50:11,1.0063354301808498
DG 39:5,1.0047656948469388
DG 38:9,1.0043639821573378
TG 54:11|TG 18:3_18:4_18:4,1.0027181186956744
HexCer 38:3;O2,1.0019809495548175
Cer 30:6;O2|Cer 12:1;O2/18:5,1.001587375463739
TG 64:2;O2|TG 16:0_16:0_16:1;O(FA 16:0),1.0008512703364456
Cer 37:3;O3|Cer 19:3;O2/18:0(2OH),1.0000049768529997
