"","Lipid","term","df","sumsq","statistic","p.value","adj_pvalues"
"103","Cer 27:4;O2|Cer 12:1;O2/15:3","temperature",2,9.01451897217862e-06,5.45598228133841,0.00782714677048347,0.0942612103931081
"104","Cer 27:4;O2|Cer 12:1;O2/15:3","parent",2,3.43357160516786e-06,2.0781481404964,0.137843120678343,0.492476176581626
"105","Cer 27:4;O2|Cer 12:1;O2/15:3","temperature:parent",4,2.79684820673147e-06,0.846387605739993,0.503856626867987,0.844144261375343
"106","Cer 28:4;O2|Cer 15:3;O2/13:1","temperature",2,2.75664320976853e-07,0.571242551778848,0.569150057602916,0.881433249037216
"107","Cer 28:4;O2|Cer 15:3;O2/13:1","parent",2,2.75846996696611e-07,0.571621099658867,0.568940353028657,0.881433249037216
"108","Cer 28:4;O2|Cer 15:3;O2/13:1","temperature:parent",4,3.60067689058224e-07,0.373073281268061,0.826499713849588,0.966542784608256
"109","Cer 28:5;O2|Cer 12:1;O2/16:4","temperature",2,2.45917933584642e-05,0.541721401257182,0.585755920907031,0.891859631097192
"110","Cer 28:5;O2|Cer 12:1;O2/16:4","parent",2,6.10385686676811e-05,1.34459079366036,0.271634338964327,0.670208042186131
"111","Cer 28:5;O2|Cer 12:1;O2/16:4","temperature:parent",4,2.74162574788063e-05,0.301970116659563,0.874994677647073,0.972848986507379
"112","Cer 29:3;O2|Cer 14:1;O2/15:2","temperature",2,5.85642143669382e-07,3.02603853043919,0.0591942654777409,0.326731522059617
"113","Cer 29:3;O2|Cer 14:1;O2/15:2","parent",2,4.46264770015934e-07,2.30586955437442,0.112158876812441,0.453839679133861
"114","Cer 29:3;O2|Cer 14:1;O2/15:2","temperature:parent",4,5.06393680331341e-07,1.30827912985598,0.282530276455049,0.681929183075423
"115","Cer 29:4;O2|Cer 13:2;O2/16:2","temperature",2,3.84834042630182e-07,0.828634149130332,0.443657048303757,0.792379007881499
"116","Cer 29:4;O2|Cer 13:2;O2/16:2","parent",2,6.16627453526879e-07,1.32773743661412,0.275972714036624,0.67504408309074
"117","Cer 29:4;O2|Cer 13:2;O2/16:2","temperature:parent",4,3.98590901699186e-07,0.42912787863468,0.786750418136332,0.966542784608256
"118","Cer 29:4;O2|Cer 14:0;O2/15:4","temperature",2,4.87435028491268e-05,2.20248701243181,0.123134538268642,0.475886103643964
"119","Cer 29:4;O2|Cer 14:0;O2/15:4","parent",2,8.85782522622402e-05,4.00242983757962,0.0256435783759102,0.20078207341386
"120","Cer 29:4;O2|Cer 14:0;O2/15:4","temperature:parent",4,2.38830086764113e-05,0.539579773230582,0.707456915667319,0.953201139969446
"121","Cer 29:5;O2|Cer 12:1;O2/17:4","temperature",2,5.24215545608993e-08,3.23926766019208,0.0491695017587311,0.298200647356909
"122","Cer 29:5;O2|Cer 12:1;O2/17:4","parent",2,3.94884854041352e-08,2.44009882558866,0.0994161598300944,0.427655253404481
"123","Cer 29:5;O2|Cer 12:1;O2/17:4","temperature:parent",4,5.90994634211878e-08,1.82595672904511,0.141801594466896,0.496746088333051
"124","Cer 30:0;O2|Cer 15:0;O2/15:0","temperature",2,4.39008690674253e-05,1.55726928398405,0.222632305358036,0.616810295309575
"125","Cer 30:0;O2|Cer 15:0;O2/15:0","parent",2,2.82336878514076e-05,1.00151673072948,0.375924081511859,0.746241759924248
"126","Cer 30:0;O2|Cer 15:0;O2/15:0","temperature:parent",4,2.23885525657489e-05,0.397087870515224,0.809577771747036,0.966542784608256
"127","Cer 30:1;O2|Cer 18:1;O2/12:0","temperature",2,0.00031975769448974,1.15969673020473,0.323418699916194,0.717483345409739
"128","Cer 30:1;O2|Cer 18:1;O2/12:0","parent",2,0.000220059890752084,0.79811288407507,0.45688652144753,0.804082124384692
"129","Cer 30:1;O2|Cer 18:1;O2/12:0","temperature:parent",4,0.000316556574167103,0.574043455892786,0.682958628188539,0.940522237908493
"130","Cer 30:2;O2|Cer 18:2;O2/12:0","temperature",2,5.47835833141253e-07,2.46367149161064,0.0973396607450975,0.427655253404481
"131","Cer 30:2;O2|Cer 18:2;O2/12:0","parent",2,5.00276039106337e-07,2.24979043158789,0.11797915861088,0.464903887147075
"132","Cer 30:2;O2|Cer 18:2;O2/12:0","temperature:parent",4,3.65821257963559e-07,0.822567044494131,0.518203045904236,0.852889826402073
"133","Cer 30:4;O2|Cer 16:3;O2/14:1","temperature",2,1.24445353197684e-07,0.151412513177889,0.859960112461449,0.970044212495541
"134","Cer 30:4;O2|Cer 16:3;O2/14:1","parent",2,5.7096697548271e-06,6.94694839767021,0.00247504406709849,0.0414528903688218
"135","Cer 30:4;O2|Cer 16:3;O2/14:1","temperature:parent",4,1.18365213927642e-07,0.07200740748091,0.990211033708032,0.997306408235369
"136","Cer 30:6;O2|Cer 12:1;O2/18:5","temperature",2,0.000808746187330869,0.614293534399224,0.545812203416165,0.871238547636199
"137","Cer 30:6;O2|Cer 12:1;O2/18:5","parent",2,0.00332150582200622,2.52289232751963,0.0923209055031822,0.417673649405273
"138","Cer 30:6;O2|Cer 12:1;O2/18:5","temperature:parent",4,0.000977416859151028,0.371204752736369,0.827807620789869,0.966542784608256
"139","Cer 31:0;O2|Cer 19:0;O2/12:0","temperature",2,1.61085607021375e-07,2.23202855850294,0.119887912639489,0.469676150512916
"140","Cer 31:0;O2|Cer 19:0;O2/12:0","parent",2,1.81681256490057e-08,0.251740525133753,0.778611099247484,0.966542784608256
"141","Cer 31:0;O2|Cer 19:0;O2/12:0","temperature:parent",4,1.6231011269176e-07,1.12449775482972,0.357903456395087,0.73588442375868
"142","Cer 31:4;O2|Cer 12:2;O2/19:2","temperature",2,5.61110296480513e-08,3.48114357623531,0.0399153066057474,0.264256048183076
"143","Cer 31:4;O2|Cer 12:2;O2/19:2","parent",2,8.76153195190312e-08,5.43567830846377,0.00795436588206408,0.0949762917355924
"144","Cer 31:4;O2|Cer 12:2;O2/19:2","temperature:parent",4,9.87094139222126e-08,3.06197947484285,0.0266196077321054,0.206128285962349
"145","Cer 31:4;O2|Cer 13:2;O2/18:2","temperature",2,2.05779126451313e-07,2.84268219284945,0.0695261018366102,0.357235414556994
"146","Cer 31:4;O2|Cer 13:2;O2/18:2","parent",2,2.2129450053572e-07,3.05701529060209,0.0576140706074243,0.323791076813725
"147","Cer 31:4;O2|Cer 13:2;O2/18:2","temperature:parent",4,5.23955959574572e-08,0.361902662773812,0.83429714019832,0.966542784608256
"148","Cer 31:6;O2|Cer 12:1;O2/19:5","temperature",2,8.08549674017411e-07,3.72633631557672,0.0323779969035828,0.232624869798753
"149","Cer 31:6;O2|Cer 12:1;O2/19:5","parent",2,2.05596283837895e-06,9.4752483790658,0.000401525246859592,0.0102571449425041
"150","Cer 31:6;O2|Cer 12:1;O2/19:5","temperature:parent",4,1.70096807395269e-07,0.391959783627963,0.8132073249641,0.966542784608256
