Lipid,VIP
Cer 36:4;O2|Cer 12:0;O2/24:4,1.0462534526900567
Cer 38:3;O3|Cer 18:2;O2/20:1;O,1.0454425620638241
PE P-40:3,1.0443774509075077
PC 44:12|PC 22:6_22:6,1.0440819369109804
Cer 30:4;O2|Cer 16:3;O2/14:1,1.0393026128989356
PC 34:1|PC 16:0_18:1,1.0357767565668068
Cer 28:4;O2|Cer 15:3;O2/13:1,1.030585079506846
VAE 21:4,1.030177086799351
DG 46:12,1.029471266047939
TG 51:2|TG 16:0_16:0_19:2,1.0260553722353702
Cer 34:1;O2|Cer 14:0;O2/20:1,1.02605257335519
Cer 52:3;O2|Cer 19:2;O2/33:1,1.0256078407645024
Cer 41:2;O2|Cer 18:2;O2/23:0,1.0240343939278
Cer 36:1;O3|Cer 18:0;O2/18:1;O,1.023707232022945
Cer 34:5;O2|Cer 18:2;O2/16:3,1.0220374161531507
DG O-37:5|DG O-19:3_18:2,1.020453870576111
SE 24:1;O4/13:1,1.0197863639055749
TG O-51:9|TG O-13:1_19:4_19:4,1.017247614032257
PC O-39:4|PC O-19:0_20:4,1.0165299309597626
Cer 40:7;O2|Cer 22:3;O2/18:4,1.0159481602185068
TG 46:2;O3|TG 12:0_16:0_18:2;O3,1.0158082023156039
DG 34:0,1.0129059197411534
TG 58:10|TG 18:3_18:3_22:4,1.012795574553166
PC 30:0,1.012567135763648
SM 42:3;O3,1.0123403772655437
NAE 26:5,1.0117950840657548
Cer 39:2;O3|Cer 19:2;O2/20:0;O,1.0024804776844796
PC 30:3,1.000423558401604
