.
AHexCer 40:2;O2|AHexCer (O-16:2)24:0;O2
PC O-32:1;O3|PC O-16:1_16:0;O3
PC O-32:1|PC O-16:0_16:1
PC O-32:2
PC O-33:1|PC O-13:0_20:1
PC O-33:1|PC O-17:0_16:1
PC O-33:2
PC O-34:0
PC O-34:2
PC O-34:2|PC O-16:1_18:1
PC O-34:4|PC O-16:0_18:4
PC O-34:5|PC O-19:1_15:4
PC O-35:1|PC O-17:0_18:1
PC O-35:1|PC O-19:1_16:0
PC O-35:2|PC O-14:0_21:2
PC O-35:4
PC O-35:5
PC O-35:5|PC O-13:0_22:5
PC O-36:0
PC O-36:10
PC O-36:1|PC O-18:0_18:1
PC O-36:2|PC O-10:0_26:2
PC O-36:3
PC O-36:3|PC O-16:0_20:3
PC O-36:4;O2|PC O-18:1_18:3;O2
PC O-36:4|PC O-19:0_17:4
PC O-36:4|PC O-21:3_15:1
PC O-36:5
PC O-36:6
PC O-36:8
PC O-37:1
PC O-37:1|PC O-15:0_22:1
PC O-37:2|PC O-17:0_20:2
PC O-37:3
PC O-37:3|PC O-16:0_21:3
PC O-37:3|PC O-17:0_20:3
PC O-37:4
PC O-37:4|PC O-17:0_20:4
PC O-37:5|PC O-17:0_20:5
PC O-37:7
PC O-38:3|PC O-18:0_20:3
PC O-38:4|PC O-16:0_22:4
PC O-38:4|PC O-20:0_18:4
PC O-38:4|PC O-21:2_17:2
PC O-38:5|PC O-18:0_20:5
PC O-38:6|PC O-16:1_22:5
PC O-38:8
PC O-38:9
PC O-39:3
PC O-39:3|PC O-17:0_22:3
PC O-39:3|PC O-24:3_15:0
PC O-39:4
PC O-39:4|PC O-19:0_20:4
PC O-39:5
PC O-39:5|PC O-11:0_28:5
PC O-40:1
PC O-40:10
PC O-40:4|PC O-18:0_22:4
PC O-40:5
PC O-40:5|PC O-17:4_23:1
PC O-40:7
PC O-40:8
PC O-40:9
PC O-41:10
PC O-41:11
PC O-41:4
PC O-41:5
PC O-41:5|PC O-19:0_22:5
PC O-41:7
PC O-41:8
PC O-41:9
PC O-42:10
PC O-42:3
PC O-42:4|PC O-25:0_17:4
PC O-42:5
PC O-42:9
PC O-43:4
PC O-44:4
PC O-44:5
PE 30:5
PE 36:3;O3|PE 18:1_18:2;O3
PE 38:4|PE 16:0_22:4
PE 40:4|PE 18:0_22:4
PE O-26:2
PE O-32:0
PE O-32:1
PE O-33:6
PE O-34:1|PE O-16:0_18:1
PE O-34:4
PE O-36:4
PE O-36:4|PE O-16:0_20:4
PE O-38:4|PE O-16:0_22:4
PE O-38:4|PE O-18:0_20:4
PE O-38:5|PE O-16:1_22:4
PE O-38:8
PE O-40:4|PE O-18:0_22:4
PE P-38:6
PE P-40:3
PE P-40:4|PE P-18:0_22:4
PE P-40:6
PEtOH 35:9
PG 35:3|PG 16:1_19:2
PI 34:0;O3|PI 16:0_18:0;O3
PI 34:2;O3|PI 16:0_18:2;O3
PI 36:0;O3|PI 18:0_18:0;O3
PI 36:1;O3|PI 18:0_18:1;O3
PI 40:4
PI 42:4|PI 20:0_22:4
PI O-38:4|PI O-18:0_20:4
PI O-40:4|PI O-18:0_22:4
PS 16:0
PS 39:4|PS 17:0_22:4
PS 40:4
Retinol palmitate
SE 24:1;O3/18:5
SE 24:1;O3/20:5
SE 24:1;O4/13:1
SE 24:2;O4/21:0;O
SE 24:2;O4/25:0;O
SE 24:2;O4/25:1;O
SE 24:2;O4/26:1
SE 24:2;O4/27:1;O
SE 24:2;O4/28:1
SE 24:2;O4/28:2
SE 24:2;O4/28:3
SE 28:1/15:3
SE 28:1/15:4
SE 28:1/21:2
SE 28:1/22:4
SE 28:1/8:0
SE 28:2/15:4
SE 28:4/28:0
SE 29:1/16:0
SHexCer 33:3;O3|SHexCer 18:2;O2/15:1;O
SHexCer 45:5;O2
SL 27:2;O2
SM 23:3;O3
SM 34:0;O3
SM 36:1;O3
SM 37:2;O3
