Order,Batch,Tube ID,Sample ID,Volume Dried,Name,Contents,Organism,Type,Timepoint,Temperature,Symbiont
NA,3,EB-3M,EB-3,800 uL,Huffmyer/Matthews,Dried metabolite extract,NA,Blank,NA,NA,NA
16,4,L82M,L82,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Bleached
17,4,L86M,L86,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Bleached
18,4,L89M,L89,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Nonbleached
19,4,L107M,L107,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Nonbleached
20,4,L85M,L85,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Bleached
NA,4,EB-4M,EB-4,800 uL,Huffmyer/Matthews,Dried metabolite extract,NA,Blank,NA,NA,NA
21,5,L56M,L56,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Nonbleached
22,5,L80M,L80,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Wildtype
23,5,L57M,L57,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Nonbleached
24,5,L75M,L75,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Nonbleached
25,5,L71M,L71,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Nonbleached
NA,5,EB-5M,EB-5,800 uL,Huffmyer/Matthews,Dried metabolite extract,NA,Blank,NA,NA,NA
26,6,L105M,L105,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Bleached
27,6,L101M,L101,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Bleached
28,6,L108M,L108,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Nonbleached
29,6,L66M,L66,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Bleached
30,6,L62M,L62,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Wildtype
NA,6,EB-6M,EB-6,800 uL,Huffmyer/Matthews,Dried metabolite extract,NA,Blank,NA,NA,NA
31,7,L103M,L103,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Bleached
32,7,L94M,L94,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Wildtype
33,7,L104M,L104,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Bleached
34,7,L99M,L99,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Wildtype
35,7,L76M,L76,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Wildtype
NA,7,EB-7M,EB-7,800 uL,Huffmyer/Matthews,Dried metabolite extract,NA,Blank,NA,NA,NA
36,8,L87M,L87,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Bleached
37,8,L72M,L72,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Nonbleached
38,8,L88M,L88,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Nonbleached
39,8,L93M,L93,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Nonbleached
40,8,L61M,L61,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Wildtype
41,8,L58M,L58,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Wildtype
42,8,L64M,L64,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Bleached
43,8,L59M,L59,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Wildtype
44,8,L97M,L97,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Wildtype
45,8,L84M,L84,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Bleached
NA,8,EB-8M,EB-8,640 uL,Huffmyer/Matthews,Dried metabolite extract,NA,Blank,NA,NA,NA
46,9,L98M,L98,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Wildtype
47,9,L74M,L74,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Nonbleached
48,9,L55M,L55,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Nonbleached
49,9,L92M,L92,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Nonbleached
50,9,L70M,L70,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Nonbleached
51,9,L77M,L77,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Wildtype
52,9,L96M,L96,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Wildtype
53,9,L79M,L79,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Wildtype
54,9,L78M,L78,640 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Wildtype
NA,9,EB-9M,EB-9,640 uL,Huffmyer/Matthews,Dried metabolite extract,NA,Blank,NA,NA,NA
NA,NA,PBQC-M,PBQC,630 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,PBQC,NA,NA,NA
NA,NA,NA,PBQC-002,630 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,PBQC,NA,NA,NA
NA,NA,NA,PBQC-003,630 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,PBQC,NA,NA,NA
NA,NA,NA,PBQC-004,630 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,PBQC,NA,NA,NA
NA,NA,NA,PBQC-005,630 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,PBQC,NA,NA,NA
NA,NA,NA,PBQC-006,630 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,PBQC,NA,NA,NA
NA,NA,NA,PBQC-007,630 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,PBQC,NA,NA,NA
NA,NA,NA,PBQC-008,630 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,PBQC,NA,NA,NA
NA,NA,NA,PBQC-009,630 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,PBQC,NA,NA,NA
NA,NA,NA,PBQC-2,630 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,PBQC,NA,NA,NA
NA,NA,NA,PBQC-3,630 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,PBQC,NA,NA,NA
