gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Montipora_capitata_HIv3___RNAseq.g50443.t1,15.600471293432404,1.6073956943132803,0.4719841451432326,3.4056137496429786,6.601550572384476e-4,0.01977269516661195,BvsWT
Montipora_capitata_HIv3___RNAseq.g19420.t1,485.3429144572845,-0.7333595961762612,0.15117363169674716,-4.851107881349133,1.2277373961821468e-6,0.00011528266178952713,BvsWT
Montipora_capitata_HIv3___TS.g17814.t1c,826.0220601741947,0.45265500639138145,0.1257943975767503,3.598371748751413,3.202156912145595e-4,0.011355824029919642,BvsWT
Montipora_capitata_HIv3___RNAseq.g9216.t1,256.8704144232265,1.3843053817738253,0.2124187325962391,6.516870545523322,7.178932980839711e-11,1.8965289016348683e-8,BvsWT
Montipora_capitata_HIv3___RNAseq.g38823.t1,68.22523627397942,-2.297731276414582,0.4588269727261093,-5.007838276731352,5.504475388834234e-7,5.5545590275652587e-5,BvsWT
Montipora_capitata_HIv3___RNAseq.g46453.t1,822.7039561806761,-0.39679253333890496,0.1205643755730802,-3.291125852498517,9.978725936867275e-4,0.02618524600754725,BvsWT
Montipora_capitata_HIv3___RNAseq.349_t,95.42246258702484,0.8803301497068362,0.24541309525661623,3.5871360034244257,3.343299648184758e-4,0.011680187418739973,BvsWT
Montipora_capitata_HIv3___RNAseq.g28413.t1,140.57491486180467,1.1239589468483593,0.3459386182324317,3.249012650253421,0.0011580632798007242,0.02911256366066394,BvsWT
Montipora_capitata_HIv3___TS.g36097.t2,562.6738569946547,0.5920774782498274,0.1544046208400972,3.834583932970426,1.257770184803349e-4,0.0053957253169319335,BvsWT
Montipora_capitata_HIv3___RNAseq.g39324.t1,2719.520408145405,0.3125076733306369,0.09334419070653271,3.347907041297707,8.142431823115017e-4,0.02260207690789402,BvsWT
Montipora_capitata_HIv3___TS.g2144.t1,54.49538574048267,-7.065493418036799,1.0639564837895068,-6.640772931681891,3.1204244129548885e-11,8.631461034987688e-9,BvsWT
Montipora_capitata_HIv3___RNAseq.g2931.t1,317.8907467339915,-0.8150421184481247,0.14851803379258785,-5.487832673481039,4.0689521774690046e-8,5.62760021156772e-6,BvsWT
Montipora_capitata_HIv3___RNAseq.g45619.t1,413.7776792074136,0.6257947413647382,0.18994281000805663,3.294648222473883,9.854495818563433e-4,0.025919655648892037,BvsWT
Montipora_capitata_HIv3___RNAseq.g26555.t1,465.05638009666865,0.885161840060651,0.1459032905466286,6.066770918903751,1.3050749567679273e-9,2.6682541203067397e-7,BvsWT
Montipora_capitata_HIv3___RNAseq.g36682.t1,2056.520778474479,0.4220277737771042,0.12122763238563718,3.481283643605212,4.990167451943101e-4,0.016050453779765557,BvsWT
Montipora_capitata_HIv3___TS.g44720.t1,126.67448440154911,0.7191312209347643,0.22172223581455122,3.243387918639999,0.0011811727289915309,0.02960739147553185,BvsWT
Montipora_capitata_HIv3___RNAseq.g29114.t1,314.88737033442624,-1.022753595281284,0.19236299447748856,-5.316789739416189,1.0561399040588719e-7,1.2866301256078858e-5,BvsWT
Montipora_capitata_HIv3___TS.g48615.t2,27510.756532746065,-0.6870349245366875,0.19200442612279764,-3.5782244108127483,3.4593637243875885e-4,0.012014262908094679,BvsWT
Montipora_capitata_HIv3___RNAseq.g5801.t1,13.559635464443623,-4.216516124780821,1.3108310711638573,-3.2166739235415522,0.0012968590160672212,0.03179535890070126,BvsWT
Montipora_capitata_HIv3___RNAseq.g45024.t1,621.2720217761639,0.42486991613740804,0.1332566074248806,3.1883590941403464,0.001430827258900477,0.034575139271601246,BvsWT
Montipora_capitata_HIv3___TS.g48064.t1,1467.5388952626247,0.34614400804793033,0.10958047450315152,3.1588109981945305,0.0015841418848199136,0.03709795218713726,BvsWT
Montipora_capitata_HIv3___RNAseq.g8767.t1,1028.9795276651673,-0.3961436584342088,0.0941474092970676,-4.207695797387677,2.579878412547581e-5,0.0014867181675445765,BvsWT
Montipora_capitata_HIv3___RNAseq.g10481.t1,170.12842796228065,0.742840652775538,0.18989219780331026,3.911907184016955,9.157010646512184e-5,0.004266187662253329,BvsWT
Montipora_capitata_HIv3___RNAseq.g4849.t1,13985.672110183943,0.7712857131306763,0.13278887793388175,5.808360798972298,6.308744990413787e-9,1.0159672069493765e-6,BvsWT
Montipora_capitata_HIv3___RNAseq.g21705.t1,1415.6097105005504,-0.790480661927872,0.13440945693108933,-5.881138723245829,4.074534840035045e-9,7.044151702860586e-7,BvsWT
Montipora_capitata_HIv3___RNAseq.g15196.t1,153.2764846520464,0.9400508846560406,0.2629445190184343,3.5750921455416846,3.5010456706691643e-4,0.012118459357036844,BvsWT
Montipora_capitata_HIv3___RNAseq.g19581.t1,9.322723125433809,2.8291518103541167,0.8733036962315232,3.239596743449572,0.0011969885283775843,0.02990817670479677,BvsWT
