gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Montipora_capitata_HIv3___RNAseq.g29209.t1,623.5220920753871,0.5050339067982316,0.19008290735563463,2.6569138373569854,0.007885959536783315,0.03382105926290576,33vs30
Montipora_capitata_HIv3___RNAseq.g29213.t1,235.35117668028866,0.7253478491569285,0.23368174364896407,3.1039987883971953,0.0019092411281608807,0.010460011073879028,33vs30
Montipora_capitata_HIv3___RNAseq.g29220.t1,67.49204121302456,1.543260892603739,0.4856801969536207,3.177524845121718,0.0014853796266074302,0.008442651820527447,33vs30
Montipora_capitata_HIv3___TS.g25726.t1,138.0133256772097,0.9691529038038365,0.2764367254254787,3.505876081812794,4.5510705005952706e-4,0.0031148498841611252,33vs30
Montipora_capitata_HIv3___RNAseq.g29261.t1,44.45581068899516,2.852011073256944,0.8799470330147219,3.2411167561823335,0.0011906240796424705,0.007027058443437458,33vs30
Montipora_capitata_HIv3___TS.g25733.t1a,15.1085597255569,4.224199452502493,1.116849378538066,3.7822463204768826,1.5541945197423545e-4,0.0012255554392429883,33vs30
Montipora_capitata_HIv3___RNAseq.g29270.t1,4505.153947890338,-1.666037488783885,0.10477886003141056,-15.900511689900434,6.284930226917831e-57,6.040079820160823e-54,33vs30
Montipora_capitata_HIv3___TS.g25742.t1,485.262120286356,-0.4280642296688458,0.13688244393394253,-3.1272398224817155,0.001764559237632468,0.009785900172155054,33vs30
Montipora_capitata_HIv3___RNAseq.g29282.t1,4914.870734000502,0.34817303201639405,0.058653522729547526,5.936097540497718,2.9188618768361145e-9,6.712218264130108e-8,33vs30
Montipora_capitata_HIv3___RNAseq.g29287.t1,2737.126942692361,0.1987962241284803,0.07043140091532228,2.822551043212778,0.004764323724613144,0.022463026718765773,33vs30
Montipora_capitata_HIv3___TS.g25761.t2,1646.3498364647376,-0.36338136321291553,0.10628855863298421,-3.4188191832356685,6.289350535999181e-4,0.00411528709539918,33vs30
Montipora_capitata_HIv3___RNAseq.g29314.t1,200.99186945788182,0.8492732977274552,0.2333775612638515,3.63905292834595,2.7364255848319057e-4,0.0020011305045703203,33vs30
Montipora_capitata_HIv3___RNAseq.g29315.t1,147.0317250689378,1.5953426331422906,0.43975529574847183,3.6277962961810095,2.858506457211847e-4,0.0020813814169838712,33vs30
Montipora_capitata_HIv3___TS.g25797.t1,137.15265463492779,1.8684196838274847,0.5771680254485151,3.2372196681816234,0.0012070046219762225,0.007091075294417109,33vs30
Montipora_capitata_HIv3___RNAseq.g29346.t1,2457.5969008728175,0.18811687129405216,0.06630567634240511,2.837115638827199,0.004552312096544267,0.02162254499728038,33vs30
Montipora_capitata_HIv3___RNAseq.g29351.t1,311.3965515999524,-1.1442807098937164,0.20121645177399322,-5.686814869288,1.2943063398588801e-8,2.6702303871954446e-7,33vs30
Montipora_capitata_HIv3___TS.g25828.t1,715.0681678134083,0.74860212300846,0.14202708823941765,5.270840459296946,1.358004738603064e-7,2.2325288165274183e-6,33vs30
Montipora_capitata_HIv3___RNAseq.g29361.t1,811.5347523105801,-0.3127305802804041,0.11716562155443619,-2.6691326016233075,0.0076047420591695124,0.03285938096566969,33vs30
Montipora_capitata_HIv3___RNAseq.g29368.t1,3454.9732101295285,0.3760232066713593,0.08983729457087805,4.1856025213970796,2.844106621760814e-5,2.7447413904147774e-4,33vs30
Montipora_capitata_HIv3___TS.g25842.t1,357.8448653387698,-1.2495541591707369,0.1725245813533692,-7.242760129418129,4.3964409175074053e-13,1.916898105147605e-11,33vs30
Montipora_capitata_HIv3___RNAseq.g29372.t1,301.84867944767086,-0.8168261182727555,0.1712466972588426,-4.769879544234991,1.8433611450640352e-6,2.3752583693241326e-5,33vs30
Montipora_capitata_HIv3___RNAseq.g29373.t1,345.97724613729224,-0.6234942990797326,0.18680423998533532,-3.3376881548763495,8.44785033769335e-4,0.0052704806069487995,33vs30
Montipora_capitata_HIv3___RNAseq.g29374.t1,698.4274624636172,0.8600939359651193,0.1711241886971004,5.026138867413623,5.004535570905003e-7,7.310298476435965e-6,33vs30
Montipora_capitata_HIv3___TS.g25848.t1,770.7356526164882,-0.5692215854360073,0.1275885026910559,-4.461386201970927,8.1431185092146e-6,9.095449317919357e-5,33vs30
Montipora_capitata_HIv3___RNAseq.29032_t,172.5148381911095,-1.1600353246470474,0.32449426368129847,-3.574902408094259,3.503585589830441e-4,0.0024887650640418577,33vs30
Montipora_capitata_HIv3___TS.g25873.t1,3559.3178600174256,-0.287745755211285,0.10831965136797243,-2.6564501600340695,0.00789681228094443,0.03384251994882707,33vs30
Montipora_capitata_HIv3___TS.g25878.t1,1597.8156456947913,1.140663780239347,0.19017060492745622,5.9981077552678155,1.996300417745018e-9,4.8013210777152076e-8,33vs30
Montipora_capitata_HIv3___RNAseq.g29977.t1,1119.594093427442,0.4310507047800693,0.10436480502126383,4.1302305378929685,3.623996402278831e-5,3.428526538907352e-4,33vs30
Montipora_capitata_HIv3___TS.g14498.t1,27.6009124975226,-4.134830010965173,1.4354218531858594,-2.8805678287453187,0.003969595282315302,0.019332498983657607,33vs30
Montipora_capitata_HIv3___RNAseq.g29624.t1,20.365853633605663,-1.722404341687309,0.678168314903786,-2.5397888751727837,0.011091940315421493,0.044742148194333115,33vs30
Montipora_capitata_HIv3___TS.g25951.t1,129.06549576598155,1.7042353438095013,0.32365351012230437,5.26561674911387,1.3971949229480438e-7,2.2871753653510738e-6,33vs30
Montipora_capitata_HIv3___RNAseq.g29482.t1,287.90935489881537,-0.9693885378514434,0.16815331313826185,-5.7649089379189125,8.17019428166624e-9,1.7347032451025886e-7,33vs30
Montipora_capitata_HIv3___RNAseq.g29492.t1,1112.0580173494393,0.40051149714890566,0.09546662541741548,4.195303807982328,2.725060773105268e-5,2.6486947632394864e-4,33vs30
Montipora_capitata_HIv3___TS.g25967.t1,4431.655392165113,-0.5299342669568019,0.08651280950643524,-6.125500604825264,9.039892783929988e-10,2.3270661502382274e-8,33vs30
Montipora_capitata_HIv3___RNAseq.g29498.t1,234.98958119642793,0.4798816494142707,0.16984400245594236,2.8254259348295343,0.0047217802787120735,0.02229890706971621,33vs30
Montipora_capitata_HIv3___RNAseq.g29499.t1,4290.512200970837,-0.5302082264143314,0.08674514302366902,-6.112252604963259,9.823452426124342e-10,2.5091503571310873e-8,33vs30
Montipora_capitata_HIv3___RNAseq.g29500.t1,1119.5561954900911,0.40493876840101084,0.0952628992393187,4.250749994325985,2.1305588097795302e-5,2.135651410150581e-4,33vs30
Montipora_capitata_HIv3___RNAseq.g29504.t1,7808.7019233624105,-0.6132123632475965,0.08561156089988113,-7.162728453984396,7.908691374032192e-13,3.2926708762103344e-11,33vs30
Montipora_capitata_HIv3___RNAseq.g29530.t1,508.2653854642614,0.46710336273573033,0.1562729941068445,2.9890216502562805,0.00279872299580699,0.014454219860790018,33vs30
Montipora_capitata_HIv3___RNAseq.g29533.t1,333.00690330912096,-0.5684958311285029,0.188422054363112,-3.017140605170045,0.002551714226220538,0.013389545403287394,33vs30
Montipora_capitata_HIv3___RNAseq.g29537.t1,175.7651656613351,-0.8034058945703856,0.23958769315707856,-3.3532853210605285,7.985833741006448e-4,0.005039487147368365,33vs30
Montipora_capitata_HIv3___RNAseq.g29549.t1,8017.946067585478,-0.25523351092599167,0.08491149078204008,-3.0058771619161937,0.0026481595324764438,0.013787113962449617,33vs30
Montipora_capitata_HIv3___RNAseq.g29551.t1,2958.420360396903,-0.34376869856162057,0.13678083712813824,-2.513281142149855,0.011961396946713125,0.047624653992048724,33vs30
Montipora_capitata_HIv3___RNAseq.g29564.t1,2358.416606147621,-0.8375266410034932,0.15252474544944333,-5.491086961237409,3.994675935646583e-8,7.382788498051959e-7,33vs30
Montipora_capitata_HIv3___RNAseq.g29568.t1,41478.830205021965,0.32440333247169517,0.10639647322540205,3.049004564131024,0.002296009934088979,0.012253000724146758,33vs30
Montipora_capitata_HIv3___RNAseq.g29569.t1,994.8988491545889,-0.37656562214610584,0.10175701967513658,-3.7006353305974065,2.1506034909165193e-4,0.0016252840602224612,33vs30
Montipora_capitata_HIv3___RNAseq.g29571.t1b,5268.571414870435,0.4521737881314343,0.17514948570463504,2.581644966368681,0.009833068416848383,0.04060145417733762,33vs30
Montipora_capitata_HIv3___RNAseq.g29571.t1a,392.2036061926283,0.44030787177048797,0.1387604291455804,3.173151556835698,0.0015079378576753346,0.00854980007061986,33vs30
Montipora_capitata_HIv3___RNAseq.g29572.t1,7513.557465924679,0.7961098729017524,0.11438695180221191,6.959796203664184,3.4076532741195072e-12,1.286375168045277e-10,33vs30
Montipora_capitata_HIv3___RNAseq.g29575.t1,3356.308126179904,-0.17868298415492215,0.07048483093138087,-2.535055866543476,0.011242939423896701,0.04525156528355107,33vs30
Montipora_capitata_HIv3___TS.g26052.t1,949.3395263931035,-0.41054026964537116,0.13397188822324566,-3.0643762291478827,0.0021812440965312246,0.011724248037969913,33vs30
Montipora_capitata_HIv3___TS.g26062.t2,1335.7048730848858,-0.3288683564397059,0.11796090619599026,-2.787943625096404,0.005304377348507018,0.024488683655587346,33vs30
Montipora_capitata_HIv3___TS.g26074.t2b,715.396115353338,0.4017817670990262,0.1271882211675541,3.1589542129827453,0.0015833636410570995,0.008907589867154224,33vs30
Montipora_capitata_HIv3___RNAseq.g29616.t3,3063.850988754301,0.3876771465133787,0.1516432837878952,2.5565071978764724,0.010572888365599185,0.04305502650998327,33vs30
Montipora_capitata_HIv3___TS.g26091.t1,858.9228721821181,0.5234174562427685,0.15249721674590402,3.432308257237928,5.984669019074544e-4,0.003945024033293922,33vs30
Montipora_capitata_HIv3___RNAseq.g30015.t1b,3463.8310977164965,0.28628752900125976,0.11046804973043305,2.5915867049329275,0.009553446461337906,0.03965987088386587,33vs30
Montipora_capitata_HIv3___RNAseq.g30016.t1,5949.191334901926,0.48371633044651,0.0473168462558983,10.222919926456683,1.5655275380760168e-24,2.329605978433763e-22,33vs30
