Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
25.06.23 17:51:08,6.55,166.25,164.79,177.41,171.74,172.78,168.97,161.51,175.51,159.57,166.73,172.27,182.5,178.15,164.84,170.96,173.72,161.32,181.87,169.47,169.62,172.25,164.94,170.7,172.52,,33,965,33,29.1,
25.06.23 17:51:23,6.8,166.25,164.79,177.67,171.99,173.3,169.98,161.76,175.26,159.57,166.73,173.06,182.78,177.63,165.09,170.96,174.28,160.82,181.28,169.72,169.89,171.99,164.35,169.91,172.78,,33,965,33,29.13,
25.06.23 17:51:38,7.05,165.5,163.31,176.89,172.24,174.34,169.98,161.26,175.26,159.32,165.98,173.06,181.95,178.15,164.33,170.69,173.72,161.32,180.7,169.22,170.15,172.25,163.46,170.7,173.04,,33,965,33,29.17,
25.06.23 17:51:53,7.3,166.25,163.56,177.15,172.49,173.56,169.22,160.75,176.27,159.57,166.23,172.27,183.89,177.89,164.07,171.22,172.88,160.57,181.28,169.98,169.62,171.99,162.87,170.7,173.82,,33,965,33,29.2,
25.06.23 17:52:08,7.55,166,163.07,176.89,171.74,172.52,168.22,160.5,176.77,159.07,166.23,172.27,183.34,178.66,163.31,170.16,172.6,159.81,180.41,169.72,169.62,172.5,163.76,170.44,173.56,,33,965,33,29.23,
25.06.23 17:52:23,7.8,166,163.31,177.15,171.74,173.3,167.97,159.74,176.77,159.32,167.23,172.79,182.5,178.66,163.31,171.22,172.32,160.06,180.7,169.98,170.15,172.25,162.57,171.75,173.04,,33,965,33,29.24,
25.06.23 17:52:38,8.05,166.5,162.82,176.12,170.73,172.01,168.22,159.74,177.53,158.82,166.98,171.49,182.78,178.66,163.82,170.96,172.32,160.57,180.12,170.23,169.09,172.25,162.87,172.01,173.82,,33,965,33,29.28,
25.06.23 17:52:53,8.3,165.26,162.33,175.86,170.73,173.04,166.47,158.73,177.28,158.32,166.73,172.01,182.22,178.4,164.58,170.42,170.37,159.81,180.41,169.47,168.82,171.49,161.98,171.75,173.3,,33,965,33,29.31,
25.06.23 17:53:08,8.55,165.5,162.57,175.6,170.99,172.01,166.72,158.22,177.53,157.57,167.23,170.97,181.67,178.92,163.31,169.89,170.1,159.06,179.26,169.47,168.55,170.98,161.39,170.96,172.52,,33,965,33,29.31,
25.06.23 17:53:23,8.8,165.01,161.84,174.31,170.99,173.04,167.47,156.97,177.79,157.32,166.98,170.97,181.11,178.15,162.05,169.63,168.15,159.31,178.39,169.72,168.29,170.98,160.22,170.44,172,,33,965,33,29.34,
25.06.23 17:53:38,9.05,165.75,162.08,174.31,170.73,172.27,167.22,156.71,177.03,157.82,165.73,171.75,181.95,178.66,162.3,169.89,168.71,159.56,178.68,169.98,168.55,170.98,159.92,169.91,172,,33,965,33,29.35,
25.06.23 17:53:53,9.3,164.02,161.59,173.03,169.48,172.52,165.72,156.46,177.03,156.82,164.74,170.97,180.56,178.4,161.79,169.1,168.43,160.06,179.54,169.47,167.22,169.72,158.75,168.87,172,,33,965,33,29.39,
25.06.23 17:54:08,9.55,164.27,161.35,173.8,169.73,172.27,165.97,156.46,176.77,157.07,165.23,169.92,180.01,179.43,162.55,168.31,168.43,159.31,178.68,170.48,168.29,169.98,159.04,170.44,172.52,,33,965,33,29.42,
25.06.23 17:54:23,9.8,164.02,161.59,173.03,170.23,170.19,166.47,156.71,177.79,157.32,165.48,170.71,180.01,179.18,161.79,168.57,167.6,159.06,178.39,170.23,167.76,170.48,160.22,169.65,172.78,,33,965,33,29.46,
25.06.23 17:54:38,10.05,162.05,160.86,173.54,170.73,170.71,165.97,156.71,177.79,156.82,166.48,170.45,179.73,179.18,160.28,168.57,167.6,158.56,178.1,170.48,168.55,170.23,159.63,169.65,172.78,,33,965,33,29.49,
25.06.23 17:54:53,10.3,162.29,160.61,172.77,170.99,169.94,164.73,156.21,178.04,155.82,166.23,169.4,178.35,178.66,160.53,168.57,166.22,158.06,177.52,169.47,167.49,169.72,159.04,168.35,171.75,,33,965,33,29.5,
25.06.23 17:55:08,10.55,163.77,159.64,172.26,170.48,170.45,163.98,158.48,177.53,155.33,167.73,169.4,178.07,179.43,160.03,168.04,165.39,158.06,178.39,169.72,167.49,169.47,159.04,168.35,171.49,,33,965,33,29.55,
25.06.23 17:55:23,10.8,164.02,160.61,173.03,169.73,170.45,164.48,157.22,178.55,155.33,167.98,168.88,177.8,178.66,160.53,168.57,164.84,157.06,177.81,169.98,167.49,170.23,158.16,168.35,172.78,,33,965,33,29.56,
25.06.23 17:55:38,11.05,163.53,159.88,171.74,168.48,170.45,163.24,156.97,178.8,155.08,168.23,168.88,176.97,178.92,160.03,168.57,164.84,157.31,176.94,169.47,166.43,169.47,157.57,167.04,171.49,,33,965,33,29.59,
25.06.23 17:55:53,11.3,163.03,159.64,170.72,167.73,168.65,163.49,155.21,178.04,154.33,166.98,168.63,175.59,178.92,159.27,168.31,164.29,157.31,176.37,169.22,166.43,169.98,157.57,166.78,170.97,,33,965,33,29.6,
